Agent Name,MC1,
(citizen 23),X,
(citizen 95),X,
(citizen 69),X,
(citizen 24),X,
(citizen 15),X,
(citizen 26),X,
(citizen 11),X,
(citizen 4),X,
(citizen 188),X,
(citizen 58),X,
(citizen 40),X,
(citizen 64),X,
(citizen 28),X,
(citizen 14),X,
(citizen 41),X,
(citizen 1),X,
(media 323),X,
(media 318),X,
(citizen 45),X,
(citizen 73),X,
(media 327),X,
(citizen 0),X,
(citizen 8),X,
(citizen 29),X,
(citizen 66),X,
(citizen 53),X,
(citizen 50),X,
(citizen 19),X,
(citizen 17),X,
(citizen 35),X,
(citizen 36),X,
(citizen 16),X,
(citizen 7),X,
(citizen 32),X,
(citizen 21),X,
(citizen 3),X,
(citizen 13),X,
(citizen 47),X,
(citizen 31),X,
(media 321),X,
(citizen 34),X,
(citizen 37),X,
(citizen 27),X,
(media 302),X,
(citizen 12),X,
(citizen 25),X,
(citizen 43),X,
(citizen 9),X,
(media 313),X,
(citizen 18),X,
(citizen 22),X,
