,Unnamed: 0,run,n,spread-type,simple-spread-chance,graph-type,ba-m,citizen-media-influence,citizen-citizen-influence,flint-community-size,repetition,data,short list,threshold,rmse,total_error,corr_coef,metric
7283,10037,10037,300,simple,0.75,barabasi-albert,10,0.01,0.75,0.005,2,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1. 15. 43. 99. 65. 36. 13.  5.  4.  3.  1.  0.  1.  0.  0.  1.  2.
  3.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  3.  1.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  2.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0101010101010102, 15.151515151515152, 43.43434343434344, 100.0, 65.65656565656566, 36.36363636363637, 13.131313131313133, 5.05050505050505, 4.040404040404041, 3.0303030303030303, 1.0101010101010102, 0.0, 1.0101010101010102, 0.0, 0.0, 1.0101010101010102, 2.0202020202020203, 3.0303030303030303, 1.0101010101010102, 0.0, 1.0101010101010102, 0.0, 0.0]",1,228.29001605636373,529.0,0.2224320249377317,total_error
6254,9004,9004,300,simple,0.75,barabasi-albert,3,0.01,0.01,0.005,1,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  6.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  1. 29.  5.  3.  2.  1.  1.  1.  0.  0.  0.  0.  2.
  5.  3. 23.  6.  4.  9. 16.  6.  2.  2.  1.  2.  3.  5.  7.  3.  4.  4.
  3.  4.  4.  1.  5.  5.  0.  2.  2.  0.  2.  0.  5.  7.  2.  1.  5.  3.
  1.  2.  0.  2.  1.  2.  2.  4. 17.  1.  6. 11.  1.  1.  3.  0.  1.  1.
  3.  1.  2.  0.  0.  0.  0.  2.  1.  0.  0.  1.  2.  1.  2.  2.  1.  0.
  3.  4.  3.  1.  0.  2.  5.  1.  5.  2.  2.  4.  1.  0.  3.  1.  0.  3.
  2.  5.  3.  3.  6.  0.  1.  2.  0.  0.  0.  2.  0.  1.  1.  2.  1.  1.
  0.  1.  3.  0.  0.  0.  0.  2.  0.  2.  1.  0.  2.  0.  0.  0.  1.  0.
  0.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.  1.  1.  0.  0.  0.  1.  0.  1.  1.  0.  0.  1.  0.  0.  1.  0.  0.
  0.  0.  1.  0.  0.  2.  1.  1.  0.  0.  1.  0.  0.  3.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.
  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4482758620689653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4482758620689653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4482758620689653, 20.689655172413794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4482758620689653, 3.4482758620689653, 100.0, 17.24137931034483, 10.344827586206897, 6.896551724137931, 3.4482758620689653, 3.4482758620689653, 3.4482758620689653, 0.0, 0.0, 0.0, 0.0, 6.896551724137931, 17.24137931034483, 10.344827586206897, 79.3103448275862, 20.689655172413794, 13.793103448275861, 31.03448275862069, 55.172413793103445, 20.689655172413794, 6.896551724137931, 6.896551724137931, 3.4482758620689653, 6.896551724137931, 10.344827586206897, 17.24137931034483, 24.137931034482758, 10.344827586206897, 13.793103448275861, 13.793103448275861, 10.344827586206897, 13.793103448275861, 13.793103448275861, 3.4482758620689653, 17.24137931034483, 17.24137931034483]",1,220.75297786678357,596.3793103448274,0.3474884052167245,total_error
6261,9011,9011,300,simple,0.75,barabasi-albert,3,0.01,0.01,0.005,2,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. 43.  3.
  5.  3.  2.  3.  3.  1.  2.  0.  1.  1.  1.  1.  0.  1.  2.  0.  0.  1.
  0.  1.  1.  0.  1.  1. 15.  4.  3.  0.  0.  0.  1.  1.  1.  2.  4.  1.
  2. 19.  1.  0.  1.  2.  3.  4.  3.  1.  0.  2.  3.  4.  1.  0.  3.  0.
  2.  1.  2.  6.  7.  2.  6.  5. 10.  7.  6.  3.  2.  2.  8.  6.  1.  2.
  3.  0.  4.  2.  1.  3.  1.  2.  1.  4.  4.  3.  3.  0.  3.  5.  2.  1.
  2.  1.  3.  1.  1.  0.  2.  1.  2.  1.  0.  2.  4.  3.  1.  1.  2.  8.
 10.  5.  1.  7.  1.  0.  1.  3.  2.  3.  1.  0.  0.  1.  1.  2.  1.  3.
  0.  0.  1.  0.  0.  0.  2.  1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  1.  0.  2.  0.  1.  1.  2.  0.  0.  0.  1.
  0.  1.  1.  0.  0.  0.  0.  0.  0.  2.  0.  1.  0.  5.  1.  1.  0.  0.
  0.  0.  0.  1.  1.  0.  2.  1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.
  0.  0.  0.  1.  3.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  1.  1.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3255813953488373, 100.0, 6.976744186046512, 11.627906976744185, 6.976744186046512, 4.651162790697675, 6.976744186046512, 6.976744186046512, 2.3255813953488373, 4.651162790697675, 0.0, 2.3255813953488373, 2.3255813953488373, 2.3255813953488373, 2.3255813953488373, 0.0, 2.3255813953488373, 4.651162790697675, 0.0, 0.0, 2.3255813953488373, 0.0, 2.3255813953488373, 2.3255813953488373, 0.0, 2.3255813953488373, 2.3255813953488373, 34.883720930232556, 9.30232558139535, 6.976744186046512, 0.0, 0.0, 0.0, 2.3255813953488373, 2.3255813953488373, 2.3255813953488373, 4.651162790697675, 9.30232558139535, 2.3255813953488373, 4.651162790697675, 44.18604651162791, 2.3255813953488373, 0.0, 2.3255813953488373, 4.651162790697675, 6.976744186046512, 9.30232558139535, 6.976744186046512, 2.3255813953488373, 0.0, 4.651162790697675, 6.976744186046512, 9.30232558139535, 2.3255813953488373, 0.0, 6.976744186046512, 0.0, 4.651162790697675, 2.3255813953488373, 4.651162790697675, 13.953488372093023, 16.27906976744186, 4.651162790697675, 13.953488372093023, 11.627906976744185, 23.25581395348837, 16.27906976744186, 13.953488372093023, 6.976744186046512, 4.651162790697675, 4.651162790697675, 18.6046511627907, 13.953488372093023, 2.3255813953488373, 4.651162790697675, 6.976744186046512, 0.0, 9.30232558139535, 4.651162790697675, 2.3255813953488373, 6.976744186046512]",1,248.6233383621303,660.9069767441864,0.0601798378746391,total_error
7308,10062,10062,300,simple,0.75,barabasi-albert,10,0.05,0.01,0.005,2,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. 27.  2.  3.  2.  5. 17.  7. 24.
 11. 14.  5.  8.  2. 13.  3. 19.  4.  6.  6.  8.  3.  3.  1.  1.  0.  3.
  4.  5.  2.  7.  5.  4.  1.  4.  3.  5.  2.  2. 19.  2. 13.  0.  5.  5.
  2.  0.  2.  5.  0.  3.  0.  2.  1.  4.  3.  0.  0.  1.  0.  1.  1.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  3.  1.  0.  0.  1.  1.  1.  0.  0.
  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]","[0.0, 0.0, 3.7037037037037033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7037037037037033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7037037037037033, 100.0, 7.4074074074074066, 11.11111111111111, 7.4074074074074066, 18.51851851851852, 62.96296296296296, 25.925925925925924, 88.88888888888889, 40.74074074074074, 51.85185185185185, 18.51851851851852, 29.629629629629626, 7.4074074074074066, 48.148148148148145, 11.11111111111111, 70.37037037037037, 14.814814814814813, 22.22222222222222, 22.22222222222222, 29.629629629629626, 11.11111111111111, 11.11111111111111, 3.7037037037037033, 3.7037037037037033, 0.0, 11.11111111111111, 14.814814814814813, 18.51851851851852, 7.4074074074074066, 25.925925925925924, 18.51851851851852, 14.814814814814813]",1,255.53629100185304,672.0370370370367,0.4775441650435887,total_error
8023,10777,10777,300,simple,0.75,barabasi-albert,10,0.75,0.75,0.005,1,"[  0.   9.  66. 146.  50.  22.  16.   9.   3.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]","[0.0, 6.164383561643835, 45.20547945205479, 100.0, 34.24657534246575, 15.068493150684931, 10.95890410958904, 6.164383561643835, 2.054794520547945, 0.684931506849315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,275.0288869574951,682.1780821917807,-0.0580842565419527,total_error
7437,10191,10191,300,simple,0.75,barabasi-albert,10,0.05,0.75,0.005,3,"[  0.  57. 136.  58.  27.  17.   2.   1.   3.   1.   0.   0.   1.   1.
   0.   1.   0.   1.   1.   0.   0.   0.   0.   0.   3.   1.   0.   0.
   0.   1.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   1.   0.
   0.   1.   0.   0.   1.   1.   0.   0.   1.   0.   0.   0.   0.   0.
   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]","[0.0, 41.911764705882355, 100.0, 42.64705882352941, 19.852941176470587, 12.5, 1.4705882352941175, 0.7352941176470588, 2.2058823529411766, 0.7352941176470588, 0.0, 0.0, 0.7352941176470588, 0.7352941176470588, 0.0, 0.7352941176470588, 0.0, 0.7352941176470588, 0.7352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2058823529411766, 0.7352941176470588, 0.0, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.7352941176470588, 0.7352941176470588, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,278.4047077035148,686.0,-0.0572359230519839,total_error
8027,10781,10781,300,simple,0.75,barabasi-albert,10,0.75,0.75,0.005,2,"[  0.  20. 152. 110.  38.  14.   3.   3.   2.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]","[0.0, 13.157894736842104, 100.0, 72.36842105263158, 25.0, 9.210526315789473, 1.9736842105263157, 1.9736842105263157, 1.3157894736842104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,295.98467949652525,688.0,-0.0514196895883364,total_error
8016,10770,10770,300,simple,0.75,barabasi-albert,10,0.75,0.75,0.005,0,"[  0.   9.  44. 138.  71.  39.  11.   2.   2.   2.   1.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.]","[0.0, 6.521739130434782, 31.88405797101449, 100.0, 51.449275362318836, 28.26086956521739, 7.971014492753622, 1.4492753623188406, 1.4492753623188406, 1.4492753623188406, 0.7246376811594203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,283.17154917329026,690.7101449275362,-0.0590345145409656,total_error
