,Unnamed: 0,ba-m,simple-spread-chance,cit-cit--influence,cit-media-influence,peak-time,bucket
131,131,3,0.75,0.05,0.1,14.0,10
132,132,3,0.75,0.05,0.25,10.0,10
133,133,3,0.75,0.05,0.5,8.0,0
134,134,3,0.75,0.05,0.75,7.0,0
135,135,3,0.75,0.1,0.01,22.0,20
136,136,3,0.75,0.1,0.05,13.0,10
137,137,3,0.75,0.1,0.1,11.0,10
138,138,3,0.75,0.1,0.25,8.0,0
139,139,3,0.75,0.1,0.5,7.0,0
140,140,3,0.75,0.1,0.75,6.0,0
141,141,3,0.75,0.25,0.01,15.0,10
142,142,3,0.75,0.25,0.05,9.0,0
143,143,3,0.75,0.25,0.1,7.0,0
144,144,3,0.75,0.25,0.25,6.0,0
145,145,3,0.75,0.25,0.5,6.0,0
146,146,3,0.75,0.25,0.75,5.0,0
147,147,3,0.75,0.5,0.01,5.0,0
148,148,3,0.75,0.5,0.05,5.0,0
149,149,3,0.75,0.5,0.1,7.0,0
150,150,3,0.75,0.5,0.25,4.0,0
151,151,3,0.75,0.5,0.5,4.0,0
152,152,3,0.75,0.5,0.75,5.0,0
153,153,3,0.75,0.75,0.01,4.0,0
154,154,3,0.75,0.75,0.05,5.0,0
155,155,3,0.75,0.75,0.1,5.0,0
156,156,3,0.75,0.75,0.25,4.0,0
157,157,3,0.75,0.75,0.5,4.0,0
158,158,3,0.75,0.75,0.75,4.0,0
159,159,10,0.05,0.05,0.5,59.0,50
160,160,10,0.05,0.05,0.75,54.5,50
161,161,10,0.05,0.1,0.25,70.5,70
162,162,10,0.05,0.1,0.5,49.0,40
163,163,10,0.05,0.1,0.75,47.0,40
164,164,10,0.05,0.25,0.05,56.0,50
165,165,10,0.05,0.25,0.1,60.5,60
166,166,10,0.05,0.25,0.25,44.0,40
167,167,10,0.05,0.25,0.5,31.0,30
168,168,10,0.05,0.25,0.75,31.0,30
169,169,10,0.05,0.5,0.01,43.0,40
170,170,10,0.05,0.5,0.05,50.0,50
171,171,10,0.05,0.5,0.1,48.0,40
172,172,10,0.05,0.5,0.25,27.0,20
173,173,10,0.05,0.5,0.5,27.0,20
174,174,10,0.05,0.5,0.75,24.0,20
175,175,10,0.05,0.75,0.01,20.0,20
176,176,10,0.05,0.75,0.05,39.5,30
177,177,10,0.05,0.75,0.1,31.0,30
178,178,10,0.05,0.75,0.25,31.0,30
179,179,10,0.05,0.75,0.5,23.0,20
180,180,10,0.05,0.75,0.75,21.0,20
181,181,10,0.1,0.01,0.25,66.0,60
182,182,10,0.1,0.01,0.5,61.5,60
183,183,10,0.1,0.01,0.75,51.0,50
184,184,10,0.1,0.05,0.1,66.0,60
185,185,10,0.1,0.05,0.25,45.5,40
186,186,10,0.1,0.05,0.5,36.0,30
187,187,10,0.1,0.05,0.75,31.5,30
188,188,10,0.1,0.1,0.05,64.0,60
189,189,10,0.1,0.1,0.1,44.0,40
190,190,10,0.1,0.1,0.25,38.0,30
191,191,10,0.1,0.1,0.5,28.0,20
192,192,10,0.1,0.1,0.75,23.5,20
193,193,10,0.1,0.25,0.01,48.0,40
194,194,10,0.1,0.25,0.05,45.0,40
195,195,10,0.1,0.25,0.1,29.0,20
196,196,10,0.1,0.25,0.25,33.0,30
197,197,10,0.1,0.25,0.5,16.0,10
198,198,10,0.1,0.25,0.75,17.0,10
199,199,10,0.1,0.5,0.01,34.0,30
200,200,10,0.1,0.5,0.05,23.5,20
201,201,10,0.1,0.5,0.1,20.0,20
202,202,10,0.1,0.5,0.25,18.0,10
203,203,10,0.1,0.5,0.5,14.0,10
204,204,10,0.1,0.5,0.75,12.0,10
205,205,10,0.1,0.75,0.01,28.0,20
206,206,10,0.1,0.75,0.05,24.0,20
207,207,10,0.1,0.75,0.1,24.0,20
208,208,10,0.1,0.75,0.25,14.0,10
209,209,10,0.1,0.75,0.5,13.0,10
210,210,10,0.1,0.75,0.75,16.0,10
211,211,10,0.25,0.01,0.05,64.5,60
212,212,10,0.25,0.01,0.1,45.0,40
213,213,10,0.25,0.01,0.25,33.0,30
214,214,10,0.25,0.01,0.5,26.0,20
215,215,10,0.25,0.01,0.75,24.0,20
216,216,10,0.25,0.05,0.01,63.5,60
217,217,10,0.25,0.05,0.05,32.0,30
218,218,10,0.25,0.05,0.1,29.0,20
219,219,10,0.25,0.05,0.25,17.0,10
220,220,10,0.25,0.05,0.5,13.0,10
221,221,10,0.25,0.05,0.75,12.0,10
222,222,10,0.25,0.1,0.01,33.0,30
223,223,10,0.25,0.1,0.05,27.0,20
224,224,10,0.25,0.1,0.1,18.0,10
225,225,10,0.25,0.1,0.25,17.0,10
226,226,10,0.25,0.1,0.5,13.0,10
227,227,10,0.25,0.1,0.75,9.0,0
228,228,10,0.25,0.25,0.01,21.0,20
229,229,10,0.25,0.25,0.05,17.0,10
230,230,10,0.25,0.25,0.1,15.0,10
231,231,10,0.25,0.25,0.25,14.0,10
232,232,10,0.25,0.25,0.5,9.0,0
233,233,10,0.25,0.25,0.75,9.0,0
234,234,10,0.25,0.5,0.01,17.5,10
235,235,10,0.25,0.5,0.05,17.0,10
236,236,10,0.25,0.5,0.1,11.0,10
237,237,10,0.25,0.5,0.25,9.0,0
238,238,10,0.25,0.5,0.5,7.0,0
239,239,10,0.25,0.5,0.75,7.0,0
240,240,10,0.25,0.75,0.01,19.0,10
241,241,10,0.25,0.75,0.05,10.0,10
242,242,10,0.25,0.75,0.1,9.0,0
243,243,10,0.25,0.75,0.25,7.0,0
244,244,10,0.25,0.75,0.5,6.0,0
245,245,10,0.25,0.75,0.75,6.0,0
246,246,10,0.5,0.01,0.01,55.0,50
247,247,10,0.5,0.01,0.05,36.0,30
248,248,10,0.5,0.01,0.1,24.5,20
249,249,10,0.5,0.01,0.25,15.0,10
250,250,10,0.5,0.01,0.5,10.0,10
251,251,10,0.5,0.01,0.75,12.0,10
252,252,10,0.5,0.05,0.01,38.0,30
253,253,10,0.5,0.05,0.05,15.0,10
254,254,10,0.5,0.05,0.1,13.0,10
255,255,10,0.5,0.05,0.25,10.0,10
256,256,10,0.5,0.05,0.5,10.0,10
257,257,10,0.5,0.05,0.75,7.0,0
258,258,10,0.5,0.1,0.01,27.0,20
259,259,10,0.5,0.1,0.05,13.0,10
260,260,10,0.5,0.1,0.1,12.0,10
261,261,10,0.5,0.1,0.25,9.0,0
262,262,10,0.5,0.1,0.5,7.0,0
263,263,10,0.5,0.1,0.75,6.0,0
264,264,10,0.5,0.25,0.01,14.0,10
265,265,10,0.5,0.25,0.05,11.5,10
266,266,10,0.5,0.25,0.1,7.0,0
267,267,10,0.5,0.25,0.25,7.0,0
268,268,10,0.5,0.25,0.5,5.0,0
269,269,10,0.5,0.25,0.75,5.0,0
270,270,10,0.5,0.5,0.01,9.0,0
271,271,10,0.5,0.5,0.05,8.0,0
272,272,10,0.5,0.5,0.1,6.0,0
273,273,10,0.5,0.5,0.25,5.0,0
274,274,10,0.5,0.5,0.5,4.0,0
275,275,10,0.5,0.5,0.75,4.5,0
276,276,10,0.5,0.75,0.01,10.0,10
277,277,10,0.5,0.75,0.05,7.0,0
278,278,10,0.5,0.75,0.1,5.0,0
279,279,10,0.5,0.75,0.25,6.0,0
280,280,10,0.5,0.75,0.5,4.0,0
281,281,10,0.5,0.75,0.75,3.0,0
282,282,10,0.75,0.01,0.01,36.0,30
283,283,10,0.75,0.01,0.05,20.0,20
284,284,10,0.75,0.01,0.1,15.0,10
285,285,10,0.75,0.01,0.25,9.0,0
286,286,10,0.75,0.01,0.5,7.0,0
287,287,10,0.75,0.01,0.75,7.0,0
288,288,10,0.75,0.05,0.01,29.0,20
289,289,10,0.75,0.05,0.05,16.0,10
290,290,10,0.75,0.05,0.1,9.0,0
