date,count,total_count,ratio
2/3/2023 0:00,0,13365,0
2/4/2023 0:00,46,6652,0.006915213
2/5/2023 0:00,24,7536,0.003184713
2/6/2023 0:00,56,13328,0.004201681
2/7/2023 0:00,35,13303,0.002630985
2/8/2023 0:00,53,14657,0.00361602
2/9/2023 0:00,65,15291,0.004250867
2/10/2023 0:00,29,13432,0.002159023
2/11/2023 0:00,11,6696,0.001642772
2/12/2023 0:00,5,7794,0.000641519
2/13/2023 0:00,77,12994,0.005925812
2/14/2023 0:00,141,14450,0.009757785
2/15/2023 0:00,228,14774,0.015432517
2/16/2023 0:00,217,15156,0.014317762
2/17/2023 0:00,240,13252,0.018110474
2/18/2023 0:00,84,6955,0.012077642
2/19/2023 0:00,60,6435,0.009324009
2/20/2023 0:00,124,9776,0.012684124
2/21/2023 0:00,254,13650,0.018608059
2/22/2023 0:00,284,14918,0.019037404
2/23/2023 0:00,376,15188,0.024756387
2/24/2023 0:00,241,13308,0.018109408
2/25/2023 0:00,137,6725,0.020371747
2/26/2023 0:00,114,7207,0.015817955
2/27/2023 0:00,145,13990,0.010364546
2/28/2023 0:00,107,15415,0.006941291
3/1/2023 0:00,121,15330,0.00789302
3/2/2023 0:00,109,14380,0.007579972
3/3/2023 0:00,102,12960,0.00787037
3/4/2023 0:00,65,6700,0.009701493
3/5/2023 0:00,83,6750,0.012296296
3/6/2023 0:00,102,13293,0.007673211
3/7/2023 0:00,104,13974,0.007442393
3/8/2023 0:00,77,14820,0.005195682
3/9/2023 0:00,157,14850,0.010572391
3/10/2023 0:00,49,14007,0.003498251
3/11/2023 0:00,28,6625,0.004226415
3/12/2023 0:00,20,8254,0.002423068
3/13/2023 0:00,38,14152,0.002685133
3/14/2023 0:00,85,14191,0.005989712
3/15/2023 0:00,51,14696,0.003470332
3/16/2023 0:00,75,14943,0.005019072
3/17/2023 0:00,39,13715,0.002843602
3/18/2023 0:00,24,6670,0.003598201
3/19/2023 0:00,13,6835,0.001901975
3/20/2023 0:00,18,13009,0.001383657
3/21/2023 0:00,23,14146,0.001625901
3/22/2023 0:00,46,14753,0.00311801
3/23/2023 0:00,34,14639,0.002322563
3/24/2023 0:00,30,13314,0.002253267
3/25/2023 0:00,4,6502,0.000615195
3/26/2023 0:00,20,6343,0.003153082
3/27/2023 0:00,51,13187,0.003867445
3/28/2023 0:00,28,13390,0.002091113
3/29/2023 0:00,22,12792,0.001719825
3/30/2023 0:00,37,7589,0.004875478
