date,count,total_count,ratio
3/31/2023 0:00,90,11734,0.007670019
4/1/2023 0:00,7,6362,0.001100283
4/2/2023 0:00,17,6867,0.002475608
4/3/2023 0:00,30,13374,0.002243158
4/4/2023 0:00,10,14907,0.000670826
4/5/2023 0:00,2,14432,0.000138581
4/6/2023 0:00,12,14031,0.000855249
4/7/2023 0:00,9,11739,0.000766675
4/8/2023 0:00,10,6116,0.001635056
4/9/2023 0:00,13,6199,0.002097112
4/10/2023 0:00,12,12301,0.00097553
4/11/2023 0:00,33,14074,0.002344749
4/12/2023 0:00,23,14220,0.00161744
4/13/2023 0:00,8,14826,0.000539593
4/14/2023 0:00,17,13267,0.001281375
4/15/2023 0:00,3,6496,0.000461823
4/16/2023 0:00,8,6583,0.001215251
4/17/2023 0:00,10,13436,0.000744269
4/18/2023 0:00,28,14884,0.001881215
4/19/2023 0:00,8,15156,0.000527844
4/20/2023 0:00,8,15641,0.000511476
4/21/2023 0:00,15,13257,0.001131478
4/22/2023 0:00,2,6356,0.000314663
4/23/2023 0:00,4,6538,0.000611808
4/24/2023 0:00,4,14152,0.000282646
4/25/2023 0:00,23,15587,0.001475589
4/26/2023 0:00,36,15323,0.002349409
4/27/2023 0:00,32,15993,0.002000875
4/28/2023 0:00,15,14294,0.001049391
4/29/2023 0:00,3,6981,0.000429738
4/30/2023 0:00,5,6828,0.000732279
5/1/2023 0:00,5,13458,0.000371526
5/2/2023 0:00,6,14342,0.000418352
5/3/2023 0:00,11,15008,0.000732942
5/4/2023 0:00,6,15396,0.000389712
5/5/2023 0:00,2,13855,0.000144352
5/6/2023 0:00,0,6963,0
5/7/2023 0:00,0,6577,0
5/8/2023 0:00,10,12798,0.000781372
5/9/2023 0:00,5,15469,0.000323227
5/10/2023 0:00,23,16221,0.001417915
5/11/2023 0:00,15,14432,0.001039357
5/12/2023 0:00,3,12497,0.000240058
5/13/2023 0:00,2,4232,0.00047259
5/14/2023 0:00,0,5046,0
5/15/2023 0:00,5,14101,0.000354585
5/16/2023 0:00,3,15839,0.000189406
5/17/2023 0:00,6,15957,0.000376011
5/18/2023 0:00,2,15655,0.000127755
5/19/2023 0:00,4,14237,0.000280958
5/20/2023 0:00,0,6732,0
5/21/2023 0:00,1,6818,0.000146671
5/22/2023 0:00,7,13333,0.000525013
5/23/2023 0:00,6,15118,0.000396878
5/24/2023 0:00,4,15467,0.000258615
5/25/2023 0:00,15,14550,0.001030928
5/26/2023 0:00,5,13029,0.000383759
5/27/2023 0:00,1,6214,0.000160927
5/28/2023 0:00,0,6308,0
5/29/2023 0:00,1,7885,0.000126823
5/30/2023 0:00,0,10085,0
5/31/2023 0:00,1,14085,7.10E-05
6/1/2023 0:00,12,13374,0.000897263
6/2/2023 0:00,1,13063,7.66E-05
6/3/2023 0:00,2,6216,0.00032175
6/4/2023 0:00,1,6555,0.000152555
6/5/2023 0:00,6,13850,0.000433213
6/6/2023 0:00,2,14544,0.000137514
6/7/2023 0:00,9,14564,0.000617962
6/8/2023 0:00,6,13671,0.000438885
6/9/2023 0:00,4,14081,0.000284071
6/10/2023 0:00,5,6376,0.000784191
6/11/2023 0:00,0,6666,0
6/12/2023 0:00,7,13242,0.000528621
6/13/2023 0:00,5,15055,0.000332116
6/14/2023 0:00,6,15043,0.000398857
6/15/2023 0:00,9,15295,0.000588428
6/16/2023 0:00,5,14118,0.000354158
6/17/2023 0:00,3,6529,0.000459488
6/18/2023 0:00,3,6424,0.000466999
6/19/2023 0:00,1,9829,0.00010174
6/20/2023 0:00,5,13870,0.00036049
6/21/2023 0:00,13,14444,0.000900028
6/22/2023 0:00,29,15099,0.001920657
6/23/2023 0:00,15,13534,0.00110832
6/24/2023 0:00,11,6204,0.00177305
6/25/2023 0:00,5,6472,0.000772559
6/26/2023 0:00,11,13405,0.000820589
