CITIZENS 50
16,1
22,0
39,6
7,0
41,5
35,5
4,1
45,6
21,1
6,0
19,1
15,0
47,6
48,5
30,6
23,2
28,5
49,5
38,5
44,4
32,5
13,2
18,0
20,1
2,0
31,5
37,5
33,6
5,1
17,0
3,1
46,4
14,1
24,2
29,5
43,5
12,0
0,1
36,5
25,5
8,0
1,2
11,1
40,5
42,5
34,5
10,1
9,2
27,5
26,5
CITIZEN_SOCIAL_LINKS 141
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,28
0,29
0,35
0,37
0,42
0,46
1,4
1,5
1,12
1,16
1,18
1,24
1,27
1,44
1,47
2,4
2,5
2,7
2,23
2,32
2,49
3,6
3,16
3,18
3,20
3,29
3,36
3,37
3,41
3,42
3,49
4,6
4,7
4,9
4,23
4,31
4,32
4,35
4,43
5,8
5,10
5,19
5,21
5,44
5,46
6,8
6,10
6,13
7,14
7,17
7,26
7,31
7,46
7,48
8,9
9,11
9,12
9,19
9,22
9,25
9,27
9,28
9,29
9,33
9,34
9,40
10,11
10,14
10,15
10,18
10,20
10,21
10,22
10,23
10,26
10,30
10,34
10,39
10,40
10,44
10,45
10,47
11,13
11,19
11,38
11,43
11,48
12,24
13,15
13,22
13,36
13,41
14,33
15,17
15,31
15,32
15,33
15,34
16,39
17,21
17,25
18,26
19,20
20,36
20,47
22,25
22,30
23,24
25,28
25,39
25,45
26,27
26,30
27,35
31,38
31,40
36,37
36,38
36,42
36,45
37,43
37,48
39,41
41,49
MEDIA 15
51,4
58,0
61,0
59,0
62,4
55,4
52,5
53,3
63,6
54,0
56,6
64,1
57,2
60,2
50,2
MEDIA_SUB_LINKS 407
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
44,50
46,50
1,51
9,51
13,51
23,51
24,51
25,51
26,51
27,51
28,51
29,51
30,51
31,51
32,51
33,51
34,51
35,51
36,51
37,51
38,51
39,51
40,51
41,51
42,51
43,51
44,51
45,51
46,51
47,51
48,51
49,51
25,52
26,52
27,52
28,52
29,52
30,52
31,52
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,52
40,52
41,52
42,52
43,52
44,52
45,52
46,52
47,52
48,52
49,52
0,53
1,53
3,53
4,53
5,53
9,53
10,53
11,53
13,53
14,53
16,53
19,53
20,53
21,53
23,53
24,53
25,53
26,53
27,53
28,53
29,53
31,53
32,53
34,53
35,53
36,53
37,53
38,53
40,53
41,53
42,53
43,53
44,53
46,53
48,53
49,53
0,54
1,54
2,54
3,54
4,54
5,54
6,54
7,54
8,54
9,54
10,54
11,54
12,54
13,54
14,54
15,54
16,54
17,54
18,54
19,54
20,54
21,54
22,54
23,54
24,54
1,55
9,55
13,55
23,55
24,55
25,55
26,55
27,55
28,55
29,55
30,55
31,55
32,55
33,55
34,55
35,55
36,55
37,55
38,55
39,55
40,55
41,55
42,55
43,55
44,55
45,55
46,55
47,55
48,55
49,55
25,56
26,56
27,56
28,56
29,56
30,56
31,56
32,56
33,56
34,56
35,56
36,56
37,56
38,56
39,56
40,56
41,56
42,56
43,56
44,56
45,56
46,56
47,56
48,56
49,56
0,57
1,57
2,57
3,57
4,57
5,57
6,57
7,57
8,57
9,57
10,57
11,57
12,57
13,57
14,57
15,57
16,57
17,57
18,57
19,57
20,57
21,57
22,57
23,57
24,57
44,57
46,57
0,58
1,58
2,58
3,58
4,58
5,58
6,58
7,58
8,58
9,58
10,58
11,58
12,58
13,58
14,58
15,58
16,58
17,58
18,58
19,58
20,58
21,58
22,58
23,58
24,58
0,59
1,59
2,59
3,59
4,59
5,59
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,59
15,59
16,59
17,59
18,59
19,59
20,59
21,59
22,59
23,59
24,59
0,60
1,60
2,60
3,60
4,60
5,60
6,60
7,60
8,60
9,60
10,60
11,60
12,60
13,60
14,60
15,60
16,60
17,60
18,60
19,60
20,60
21,60
22,60
23,60
24,60
44,60
46,60
0,61
1,61
2,61
3,61
4,61
5,61
6,61
7,61
8,61
9,61
10,61
11,61
12,61
13,61
14,61
15,61
16,61
17,61
18,61
19,61
20,61
21,61
22,61
23,61
24,61
1,62
9,62
13,62
23,62
24,62
25,62
26,62
27,62
28,62
29,62
30,62
31,62
32,62
33,62
34,62
35,62
36,62
37,62
38,62
39,62
40,62
41,62
42,62
43,62
44,62
45,62
46,62
47,62
48,62
49,62
25,63
26,63
27,63
28,63
29,63
30,63
31,63
32,63
33,63
34,63
35,63
36,63
37,63
38,63
39,63
40,63
41,63
42,63
43,63
44,63
45,63
46,63
47,63
48,63
49,63
0,64
1,64
2,64
3,64
4,64
5,64
6,64
7,64
8,64
9,64
10,64
11,64
12,64
13,64
14,64
15,64
16,64
17,64
18,64
19,64
20,64
21,64
22,64
23,64
24,64
