Agent Name,MC1,
(citizen 16),X,
(citizen 41),X,
(citizen 17),X,
(citizen 40),X,
(media 302),X,
(citizen 24),X,
(citizen 8),X,
(media 328),X,
(citizen 13),X,
(citizen 52),X,
(citizen 26),X,
(media 326),X,
(media 322),X,
(media 301),X,
(citizen 23),X,
(citizen 14),X,
(citizen 9),X,
(media 323),X,
(media 318),X,
(citizen 34),X,
(citizen 36),X,
(citizen 11),X,
(citizen 15),X,
(media 327),X,
(citizen 21),X,
(citizen 5),X,
(media 303),X,
(citizen 0),X,
(citizen 29),X,
(citizen 94),X,
(citizen 4),X,
(citizen 12),X,
(media 325),X,
(citizen 20),X,
(citizen 19),X,
(citizen 1),X,
(media 321),X,
(citizen 28),X,
(citizen 25),X,
(citizen 18),X,
