Agent Name,MC1,
(media 328),X,
(media 318),X,
(media 326),X,
(citizen 0),X,
(citizen 23),X,
(media 324),X,
(media 303),X,
(citizen 1),X,
(citizen 40),X,
(media 301),X,
(citizen 12),X,
(citizen 16),X,
(media 313),X,
(citizen 21),X,
(media 322),X,
(citizen 14),X,
(media 323),X,
(citizen 19),X,
(media 300),X,
(citizen 15),X,
(citizen 11),X,
(citizen 26),X,
(media 325),X,
(citizen 6),X,
(citizen 43),X,
(citizen 17),X,
(media 320),X,
(media 321),X,
(media 327),X,
(citizen 13),X,
(media 302),X,
(media 305),X,
(citizen 25),X,
(media 319),X,
