date,count,total_count,ratio
4/27/2014 0:00,0,4042,0
4/28/2014 0:00,0,8285,0
4/29/2014 0:00,0,8928,0
4/30/2014 0:00,0,8443,0
5/1/2014 0:00,0,8337,0
5/2/2014 0:00,0,7856,0
5/3/2014 0:00,0,4129,0
5/4/2014 0:00,0,4047,0
5/5/2014 0:00,0,7822,0
5/6/2014 0:00,0,9756,0
5/7/2014 0:00,0,10109,0
5/8/2014 0:00,0,9648,0
5/9/2014 0:00,0,9405,0
5/10/2014 0:00,0,5348,0
5/11/2014 0:00,0,4762,0
5/12/2014 0:00,0,8105,0
5/13/2014 0:00,0,9129,0
5/14/2014 0:00,1,9078,0.000110156
5/15/2014 0:00,0,9799,0
5/16/2014 0:00,0,8347,0
5/17/2014 0:00,0,4431,0
5/18/2014 0:00,0,4369,0
5/19/2014 0:00,1,8038,0.000124409
5/20/2014 0:00,0,8827,0
5/21/2014 0:00,0,9157,0
5/22/2014 0:00,0,9054,0
5/23/2014 0:00,1,7874,0.000127
5/24/2014 0:00,0,4436,0
5/25/2014 0:00,0,4151,0
5/26/2014 0:00,1,4751,0.000210482
5/27/2014 0:00,0,8182,0
5/28/2014 0:00,0,8454,0
5/29/2014 0:00,0,9434,0
5/30/2014 0:00,0,8675,0
5/31/2014 0:00,0,4615,0
6/1/2014 0:00,0,4568,0
6/2/2014 0:00,0,9224,0
6/3/2014 0:00,0,6603,0
6/4/2014 0:00,0,8235,0
6/5/2014 0:00,0,8080,0
6/6/2014 0:00,0,8590,0
6/7/2014 0:00,0,4361,0
6/8/2014 0:00,0,4108,0
6/9/2014 0:00,0,8471,0
6/10/2014 0:00,0,9030,0
6/11/2014 0:00,0,8493,0
6/12/2014 0:00,0,9169,0
6/13/2014 0:00,0,8001,0
6/14/2014 0:00,0,4201,0
6/15/2014 0:00,0,4227,0
6/16/2014 0:00,0,8094,0
6/17/2014 0:00,0,8868,0
6/18/2014 0:00,0,8913,0
6/19/2014 0:00,0,8990,0
6/20/2014 0:00,0,8030,0
6/21/2014 0:00,0,3930,0
6/22/2014 0:00,0,3758,0
6/23/2014 0:00,0,8227,0
6/24/2014 0:00,0,8848,0
6/25/2014 0:00,0,9613,0
6/26/2014 0:00,0,8821,0
6/27/2014 0:00,0,8222,0
6/28/2014 0:00,0,3860,0
6/29/2014 0:00,0,3645,0
6/30/2014 0:00,0,8019,0
7/1/2014 0:00,0,8421,0
7/2/2014 0:00,0,8624,0
7/3/2014 0:00,0,7911,0
7/4/2014 0:00,0,4549,0
7/5/2014 0:00,0,3503,0
7/6/2014 0:00,0,3618,0
7/7/2014 0:00,0,7674,0
7/8/2014 0:00,0,8457,0
7/9/2014 0:00,0,8777,0
7/10/2014 0:00,0,8746,0
7/11/2014 0:00,0,8495,0
7/12/2014 0:00,0,4141,0
7/13/2014 0:00,0,4108,0
7/14/2014 0:00,1,8070,0.000123916
7/15/2014 0:00,0,8713,0
7/16/2014 0:00,0,8728,0
7/17/2014 0:00,0,8801,0
7/18/2014 0:00,0,8180,0
7/19/2014 0:00,0,3873,0
7/20/2014 0:00,0,3717,0
7/21/2014 0:00,0,7776,0
7/22/2014 0:00,0,8848,0
7/23/2014 0:00,0,8990,0
7/24/2014 0:00,0,9117,0
7/25/2014 0:00,0,7940,0
7/26/2014 0:00,0,3840,0
7/27/2014 0:00,0,3814,0
7/28/2014 0:00,0,7835,0
7/29/2014 0:00,0,8505,0
7/30/2014 0:00,0,8320,0
7/31/2014 0:00,0,9057,0
8/1/2014 0:00,0,8044,0
8/2/2014 0:00,0,3808,0
8/3/2014 0:00,0,3710,0
8/4/2014 0:00,0,7831,0
8/5/2014 0:00,0,8616,0
8/6/2014 0:00,0,9078,0
8/7/2014 0:00,0,8440,0
8/8/2014 0:00,0,7716,0
8/9/2014 0:00,0,3904,0
8/10/2014 0:00,0,3875,0
8/11/2014 0:00,0,7727,0
8/12/2014 0:00,1,8398,0.000119076
8/13/2014 0:00,0,8351,0
8/14/2014 0:00,0,8895,0
8/15/2014 0:00,0,7877,0
8/16/2014 0:00,0,3923,0
8/17/2014 0:00,0,3613,0
8/18/2014 0:00,0,7781,0
8/19/2014 0:00,0,8510,0
8/20/2014 0:00,1,8356,0.000119674
8/21/2014 0:00,0,8494,0
8/22/2014 0:00,0,7640,0
8/23/2014 0:00,0,3918,0
8/24/2014 0:00,0,3936,0
8/25/2014 0:00,0,7903,0
8/26/2014 0:00,0,8440,0
8/27/2014 0:00,0,8304,0
8/28/2014 0:00,0,8395,0
8/29/2014 0:00,0,8097,0
8/30/2014 0:00,0,4332,0
8/31/2014 0:00,0,3899,0
9/1/2014 0:00,0,4689,0
9/2/2014 0:00,0,8121,0
9/3/2014 0:00,0,9321,0
9/4/2014 0:00,0,9427,0
9/5/2014 0:00,0,8578,0
9/6/2014 0:00,0,4493,0
9/7/2014 0:00,0,4536,0
9/8/2014 0:00,0,8792,0
9/9/2014 0:00,0,9194,0
9/10/2014 0:00,0,9430,0
9/11/2014 0:00,0,9132,0
9/12/2014 0:00,0,8604,0
9/13/2014 0:00,0,4221,0
9/14/2014 0:00,1,4464,0.000224014
9/15/2014 0:00,0,8877,0
9/16/2014 0:00,0,9099,0
9/17/2014 0:00,0,9240,0
9/18/2014 0:00,0,9411,0
9/19/2014 0:00,0,8219,0
9/20/2014 0:00,0,4083,0
9/21/2014 0:00,0,4149,0
9/22/2014 0:00,0,8556,0
9/23/2014 0:00,0,8975,0
9/24/2014 0:00,0,9175,0
9/25/2014 0:00,1,8994,0.000111185
9/26/2014 0:00,0,8164,0
9/27/2014 0:00,0,4462,0
9/28/2014 0:00,0,4397,0
9/29/2014 0:00,0,8510,0
9/30/2014 0:00,0,8912,0
10/1/2014 0:00,0,9526,0
10/2/2014 0:00,0,9249,0
10/3/2014 0:00,0,8167,0
10/4/2014 0:00,0,3930,0
10/5/2014 0:00,0,4373,0
10/6/2014 0:00,0,8376,0
10/7/2014 0:00,0,8496,0
10/8/2014 0:00,0,9038,0
10/9/2014 0:00,0,9117,0
10/10/2014 0:00,0,8482,0
10/11/2014 0:00,0,4244,0
10/12/2014 0:00,0,4273,0
10/13/2014 0:00,1,7803,0.000128156
10/14/2014 0:00,2,8931,0.000223939
10/15/2014 0:00,1,9032,0.000110717
10/16/2014 0:00,0,8584,0
10/17/2014 0:00,0,7822,0
10/18/2014 0:00,0,3760,0
10/19/2014 0:00,0,3594,0
10/20/2014 0:00,0,8073,0
10/21/2014 0:00,0,8647,0
