,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,organizing-capacity,flint-organizing-strategy,threshold
42,3,0.01,0.01,0.75,1,high-degree-media,0
43,3,0.01,0.01,0.75,1,neighbors-of-neighbors,0
44,3,0.01,0.01,0.75,5,high-degree-cit-and-media,0
45,3,0.01,0.01,0.75,5,high-degree-citizens,0
46,3,0.01,0.01,0.75,5,high-degree-media,0
47,3,0.01,0.01,0.75,5,neighbors-of-neighbors,0
48,3,0.01,0.05,0.01,1,high-degree-cit-and-media,0
49,3,0.01,0.05,0.01,1,high-degree-citizens,0
50,3,0.01,0.05,0.01,1,high-degree-media,0
51,3,0.01,0.05,0.01,1,neighbors-of-neighbors,0
52,3,0.01,0.05,0.01,5,high-degree-cit-and-media,0
53,3,0.01,0.05,0.01,5,high-degree-citizens,0
54,3,0.01,0.05,0.01,5,high-degree-media,0
55,3,0.01,0.05,0.01,5,neighbors-of-neighbors,0
56,3,0.01,0.05,0.05,1,high-degree-cit-and-media,0
57,3,0.01,0.05,0.05,1,high-degree-citizens,0
58,3,0.01,0.05,0.05,1,high-degree-media,0
59,3,0.01,0.05,0.05,1,neighbors-of-neighbors,0
60,3,0.01,0.05,0.05,5,high-degree-cit-and-media,0
61,3,0.01,0.05,0.05,5,high-degree-citizens,0
62,3,0.01,0.05,0.05,5,high-degree-media,0
63,3,0.01,0.05,0.05,5,neighbors-of-neighbors,0
64,3,0.01,0.05,0.1,1,high-degree-cit-and-media,0
65,3,0.01,0.05,0.1,1,high-degree-citizens,0
66,3,0.01,0.05,0.1,1,high-degree-media,0
67,3,0.01,0.05,0.1,1,neighbors-of-neighbors,0
68,3,0.01,0.05,0.1,5,high-degree-cit-and-media,0
69,3,0.01,0.05,0.1,5,high-degree-citizens,0
70,3,0.01,0.05,0.1,5,high-degree-media,0
71,3,0.01,0.05,0.1,5,neighbors-of-neighbors,0
72,3,0.01,0.05,0.25,1,high-degree-cit-and-media,0
73,3,0.01,0.05,0.25,1,high-degree-citizens,0
74,3,0.01,0.05,0.25,1,high-degree-media,0
75,3,0.01,0.05,0.25,1,neighbors-of-neighbors,0
76,3,0.01,0.05,0.25,5,high-degree-cit-and-media,0
77,3,0.01,0.05,0.25,5,high-degree-citizens,0
78,3,0.01,0.05,0.25,5,high-degree-media,0
79,3,0.01,0.05,0.25,5,neighbors-of-neighbors,0
80,3,0.01,0.05,0.5,1,high-degree-cit-and-media,0
81,3,0.01,0.05,0.5,1,high-degree-citizens,0
82,3,0.01,0.05,0.5,1,high-degree-media,0
