,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
138,3,0.75,0.25,0.75,5.0
139,3,0.75,0.5,0.01,7.0
140,3,0.75,0.5,0.05,6.0
141,3,0.75,0.5,0.1,5.0
142,3,0.75,0.5,0.25,5.0
143,3,0.75,0.5,0.5,4.0
144,3,0.75,0.5,0.75,4.0
145,3,0.75,0.75,0.01,4.0
146,3,0.75,0.75,0.05,4.0
147,3,0.75,0.75,0.1,4.5
148,3,0.75,0.75,0.25,4.0
149,3,0.75,0.75,0.5,4.0
150,3,0.75,0.75,0.75,4.0
151,10,0.05,0.01,0.75,54.0
152,10,0.05,0.05,0.5,58.0
153,10,0.05,0.05,0.75,50.0
154,10,0.05,0.1,0.25,60.0
155,10,0.05,0.1,0.5,47.0
156,10,0.05,0.1,0.75,37.0
157,10,0.05,0.25,0.05,58.0
158,10,0.05,0.25,0.1,48.0
159,10,0.05,0.25,0.25,39.0
160,10,0.05,0.25,0.5,33.0
161,10,0.05,0.25,0.75,29.0
162,10,0.05,0.5,0.01,38.0
163,10,0.05,0.5,0.05,35.0
164,10,0.05,0.5,0.1,31.0
165,10,0.05,0.5,0.25,28.0
166,10,0.05,0.5,0.5,24.0
167,10,0.05,0.5,0.75,21.5
168,10,0.05,0.75,0.01,23.5
169,10,0.05,0.75,0.05,26.0
170,10,0.05,0.75,0.1,24.0
171,10,0.05,0.75,0.25,23.0
172,10,0.05,0.75,0.5,18.5
173,10,0.05,0.75,0.75,17.0
174,10,0.1,0.01,0.25,62.0
175,10,0.1,0.01,0.5,50.0
176,10,0.1,0.01,0.75,40.0
177,10,0.1,0.05,0.1,60.0
178,10,0.1,0.05,0.25,44.0
179,10,0.1,0.05,0.5,32.0
180,10,0.1,0.05,0.75,25.0
181,10,0.1,0.1,0.05,50.0
182,10,0.1,0.1,0.1,50.0
183,10,0.1,0.1,0.25,31.0
184,10,0.1,0.1,0.5,25.5
185,10,0.1,0.1,0.75,21.0
186,10,0.1,0.25,0.01,38.0
187,10,0.1,0.25,0.05,32.0
188,10,0.1,0.25,0.1,28.0
189,10,0.1,0.25,0.25,21.0
190,10,0.1,0.25,0.5,16.5
191,10,0.1,0.25,0.75,16.0
192,10,0.1,0.5,0.01,23.0
193,10,0.1,0.5,0.05,21.0
194,10,0.1,0.5,0.1,19.0
195,10,0.1,0.5,0.25,15.0
196,10,0.1,0.5,0.5,13.0
197,10,0.1,0.5,0.75,12.0
198,10,0.1,0.75,0.01,15.0
199,10,0.1,0.75,0.05,15.0
200,10,0.1,0.75,0.1,15.0
201,10,0.1,0.75,0.25,12.0
202,10,0.1,0.75,0.5,12.0
203,10,0.1,0.75,0.75,10.0
204,10,0.25,0.01,0.05,57.0
205,10,0.25,0.01,0.1,43.0
206,10,0.25,0.01,0.25,29.0
207,10,0.25,0.01,0.5,23.0
208,10,0.25,0.01,0.75,19.0
209,10,0.25,0.05,0.01,49.0
210,10,0.25,0.05,0.05,31.0
211,10,0.25,0.05,0.1,26.0
212,10,0.25,0.05,0.25,18.0
213,10,0.25,0.05,0.5,14.0
214,10,0.25,0.05,0.75,12.0
215,10,0.25,0.1,0.01,34.5
216,10,0.25,0.1,0.05,26.0
217,10,0.25,0.1,0.1,22.0
218,10,0.25,0.1,0.25,15.0
219,10,0.25,0.1,0.5,12.0
220,10,0.25,0.1,0.75,10.0
221,10,0.25,0.25,0.01,20.5
222,10,0.25,0.25,0.05,16.0
223,10,0.25,0.25,0.1,13.0
224,10,0.25,0.25,0.25,10.0
225,10,0.25,0.25,0.5,9.0
226,10,0.25,0.25,0.75,8.0
227,10,0.25,0.5,0.01,14.0
228,10,0.25,0.5,0.05,10.0
229,10,0.25,0.5,0.1,10.0
230,10,0.25,0.5,0.25,8.0
231,10,0.25,0.5,0.5,7.0
232,10,0.25,0.5,0.75,6.0
233,10,0.25,0.75,0.01,9.0
234,10,0.25,0.75,0.05,8.0
235,10,0.25,0.75,0.1,8.0
236,10,0.25,0.75,0.25,6.0
237,10,0.25,0.75,0.5,6.0
238,10,0.25,0.75,0.75,5.0
239,10,0.5,0.01,0.01,50.5
240,10,0.5,0.01,0.05,29.0
241,10,0.5,0.01,0.1,20.0
242,10,0.5,0.01,0.25,15.0
243,10,0.5,0.01,0.5,12.0
244,10,0.5,0.01,0.75,10.0
245,10,0.5,0.05,0.01,30.0
246,10,0.5,0.05,0.05,18.0
247,10,0.5,0.05,0.1,14.0
248,10,0.5,0.05,0.25,11.0
249,10,0.5,0.05,0.5,8.0
250,10,0.5,0.05,0.75,7.0
251,10,0.5,0.1,0.01,19.5
252,10,0.5,0.1,0.05,12.5
253,10,0.5,0.1,0.1,11.0
254,10,0.5,0.1,0.25,9.0
255,10,0.5,0.1,0.5,7.0
256,10,0.5,0.1,0.75,6.0
257,10,0.5,0.25,0.01,12.0
258,10,0.5,0.25,0.05,9.0
259,10,0.5,0.25,0.1,8.0
260,10,0.5,0.25,0.25,6.0
261,10,0.5,0.25,0.5,5.0
262,10,0.5,0.25,0.75,5.0
263,10,0.5,0.5,0.01,8.0
264,10,0.5,0.5,0.05,6.0
265,10,0.5,0.5,0.1,6.0
266,10,0.5,0.5,0.25,5.0
267,10,0.5,0.5,0.5,4.0
268,10,0.5,0.5,0.75,4.0
269,10,0.5,0.75,0.01,6.0
270,10,0.5,0.75,0.05,6.0
271,10,0.5,0.75,0.1,5.0
272,10,0.5,0.75,0.25,4.0
273,10,0.5,0.75,0.5,4.0
274,10,0.5,0.75,0.75,4.0
275,10,0.75,0.01,0.01,36.5
276,10,0.75,0.01,0.05,18.5
277,10,0.75,0.01,0.1,15.0
278,10,0.75,0.01,0.25,10.0
279,10,0.75,0.01,0.5,8.0
280,10,0.75,0.01,0.75,7.0
281,10,0.75,0.05,0.01,17.5
282,10,0.75,0.05,0.05,10.5
283,10,0.75,0.05,0.1,9.0
284,10,0.75,0.05,0.25,8.0
285,10,0.75,0.05,0.5,6.0
286,10,0.75,0.05,0.75,5.0
287,10,0.75,0.1,0.01,15.0
288,10,0.75,0.1,0.05,9.0
289,10,0.75,0.1,0.1,8.0
290,10,0.75,0.1,0.25,6.0
291,10,0.75,0.1,0.5,5.0
292,10,0.75,0.1,0.75,5.0
293,10,0.75,0.25,0.01,9.0
294,10,0.75,0.25,0.05,7.0
295,10,0.75,0.25,0.1,6.0
296,10,0.75,0.25,0.25,5.0
297,10,0.75,0.25,0.5,4.0
298,10,0.75,0.25,0.75,4.0
299,10,0.75,0.5,0.01,6.0
300,10,0.75,0.5,0.05,5.0
301,10,0.75,0.5,0.1,4.0
302,10,0.75,0.5,0.25,4.0
303,10,0.75,0.5,0.5,3.0
304,10,0.75,0.5,0.75,3.0
305,10,0.75,0.75,0.01,4.0
306,10,0.75,0.75,0.05,4.0
307,10,0.75,0.75,0.1,4.0
308,10,0.75,0.75,0.25,4.0
309,10,0.75,0.75,0.5,3.0
310,10,0.75,0.75,0.75,3.0
