,n,spread-type,simple-spread-chance,ba-m,cit-media-influence,cit-cit-influence,repetition,data,run_id,num_media
0,300,simple,0.5,10,0.01,0.5,0,"[ 0.  1.  2.  4.  2.  3.  5.  6. 23. 35. 43. 43. 37. 17. 18. 12. 10.  6.
  8.  3.  3.  1.  3.  1.  5.  2.  5.  3.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.
  0.  0.  0.  0.  0.  0.]",1000,30
1,300,simple,0.5,10,0.01,0.5,0,"[ 0.  4.  7.  9. 24. 23. 30. 35. 28. 23. 25. 22. 11. 10. 10. 10.  6.  2.
  1.  3.  1.  0.  2.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.]",100,30
2,300,simple,0.5,10,0.01,0.5,0,"[ 0.  3.  4.  9. 10. 16. 27. 50. 47. 34. 21. 12. 15. 12.  7.  8.  6.  2.
  4.  3.  1.  1.  0.  1.  2.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.]",101,30
3,300,simple,0.5,10,0.01,0.5,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",102,30
4,300,simple,0.5,10,0.01,0.5,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",103,30
5,300,simple,0.5,10,0.01,0.5,0,"[ 0.  4.  2.  5.  8.  8. 11.  6. 14.  8. 15. 13.  3.  7.  4.  4.  2.  3.
  3.  4.  3.  2.  1.  3.  5. 10. 13. 18. 14. 16. 17. 12.  6. 14.  9.  5.
  4.  3.  4.  1.  0.  0.  2.  1.  1.  1.  0.  0.  1.  0.  1.  1.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  0.  1.  3.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  1.  1.  1.]",104,30
6,300,simple,0.5,10,0.01,0.5,0,"[ 0.  2.  3.  0.  1.  0.  2.  2.  2.  0.  0.  0.  0.  1.  1. 12. 21. 50.
 53. 38. 20. 24. 15.  8.  9.  8. 11.  8.  3.  3.  2.  0.  0.  1.  0.  1.
  0.  0.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",105,30
7,300,simple,0.5,10,0.01,0.5,0,"[ 0. 12. 12. 19. 26. 13. 29. 24. 18. 12. 11. 10.  6.  5.  5.  6.  1.  1.
  0.  0.  1.  0.  0.  1.  2.  0.  0.  0.  2.  0.  0.  0.  0.  1.  0.  0.
  1.  1.  0.  0.  2.  3. 16. 11. 13.  8.  6.  4.  1.  3.  2.  3.  1.  3.
  2.  0.  0.  0.  1.  3.  2.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",106,30
8,300,simple,0.5,10,0.01,0.5,0,"[ 0.  1.  0.  1.  0.  1.  0.  0.  0.  0.  2.  0.  0.  1.  1.  1.  0.  0.
  0.  1.  0.  1.  9.  7. 20. 23. 34. 22. 32. 24. 16. 26. 16. 11.  9.  9.
  5.  5.  3.  4.  3.  2.  1.  1.  0.  1.  0.  0.  0.  1.  2.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",107,30
9,300,simple,0.5,10,0.01,0.5,0,"[ 0.  1.  2.  4.  5.  5.  3.  5.  4.  6.  5.  7. 15. 32. 44. 37. 26. 25.
 17. 14. 12.  4.  1.  5.  7.  1.  3.  1.  1.  4.  1.  2.  0.  1.  0.  0.
  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  2.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  0.  0.  0.  0.  1.]",108,30
