,n,spread-type,simple-spread-chance,ba-m,cit-media-influence,cit-cit-influence,flint-organizing-strategy,organizing-capacity,repetition,data,run_id
10,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  1.  0.  0.  0.  0.  1.  3. 34. 38. 49. 39. 25. 17. 22.  9.  9.
 13.  9.  8.  3.  1.  5.  2.  1.  1.  0.  1.  0.  0.  0.  1.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  1.  2.  0.  0.  0.  0.  0.  2.  0.  1.  1.
  1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]",109
11,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  1.  3.  2.  2.  1.  5.  6.  3.  6.  8. 10. 15.  8. 15.
 30. 41. 35. 21. 17. 15.  5. 16. 10.  6.  6.  3.  2.  2.  3.  1.  0.  1.
  1.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",10
12,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  1.  1.  1.  3.  7.  6.  9.  4. 10. 14. 10.  3. 19.
 11. 21. 22. 22. 18. 16. 25. 16. 11. 10.  9.  8.  3.  3.  2.  3.  0.  3.
  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  1.  2.  0.  0.  2.  0.  1.  2.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",110
13,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  2.  9. 30. 48. 47. 40. 31. 21. 16. 11.  9.  4.  6.  3.  3.  9.
  1.  1.  1.  0.  0.  0.  0.  1.  1.  2.  2.  0.  1.  0.  2.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  2.  1.
  0.  0.  1.  0.  0.  0.]",111
14,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  0.  1.  2.  3.  5.  5.  4.  3.  5.  2.  5.  4.  4.
  0.  4.  5.  1.  3.  6.  1.  6.  2.  3.  4.  3.  4. 10.  9. 14. 11. 16.
 11. 16. 17. 12. 16. 11. 10. 12. 11.  5.  5.  2.  4.  4.  3.  0.  0.  2.
  1.  2.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  1.  3.  2.  1.  0.  0.  2.  0.  0.  1.  0.  0.  0.  1.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.]",112
15,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  1.  2.  0.  2.  5.  5.  4.  7.  8.  5. 11.  8.  7.
  9.  9. 11. 16. 21. 28. 31. 21. 16. 11.  7. 11.  8.  9.  5.  2.  5.  6.
  3.  2.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  2.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  1.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.
  0.  0.  0.  0.  0.  0.]",113
16,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  1.  2.  5.  5. 18. 16.
 23. 15. 23. 17. 30. 25. 26. 22. 17. 13. 10.  8.  6.  4.  2.  3.  2.  0.
  2.  1.  2.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.]",114
17,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  1.  0.  1.
  3.  3.  1.  2.  1.  1. 32. 39. 42. 47. 32. 19. 15. 11.  6.  8.  2.  4.
  6.  4.  2.  3.  0.  1.  1.  0.  0.  1.  1.  0.  1.  0.  1.  1.  3.  1.
  3.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",115
18,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1. 32. 51. 54. 35. 31. 20. 23. 13. 10.
  9.  3.  4.  5.  0.  2.  1.  0.  4.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.]",116
19,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  2.  1.  1.  1.  2.  4.  0.  1.  1.  1.  0.  1.  1.
  1.  2.  4.  0.  0.  2.  1.  3. 19. 34. 43. 39. 36. 22. 26. 14.  8.  6.
  3.  8.  7.  1.  4.  2.  0.  2.  0.  1.  0.  1.  2.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",117
20,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  1.  1.  1.  0.  2.  0.  2.  1.  0.  2.  1.  4.  1.  3.
  2. 31. 42. 52. 48. 32. 12. 15. 12. 12.  9.  2.  6.  2.  2.  0.  2.  1.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",118
21,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  2.  1.  0.  1.  2.  1.  2.  5.  7. 20. 24. 41. 40. 43. 27. 22.
 22. 10.  5.  4.  6.  1.  2.  4.  1.  0.  0.  1.  1.  1.  2.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  1.  1.  1.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",119
22,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  3.  6.  5.  5. 13. 10. 15. 11.
  7.  7.  6.  3.  5.  3.  2.  3.  1.  4.  2.  4.  8. 14. 25. 27. 20. 22.
 17. 10.  8.  3.  7.  4.  0.  3.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  2.  1.
  0.  0.  0.  1.  1.  2.  0.  1.  1.  1.  0.  0.  0.  1.  0.  0.  1.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",11
23,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  1.  0.  0.  1.  3.  6.  7. 10.  5.  7.  6.  2.  9.
  6.  6.  2.  1.  1.  2.  5.  7.  8.  7. 11. 17. 44. 35. 16. 16.  9.  7.
  9.  6.  4.  2.  3.  2.  2.  1.  1.  2.  1.  0.  2.  1.  1.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  2.  2.  2.  1.  1.  0.  2.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  1.  0.]",120
24,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  1.  4.  7.  9. 11. 20. 15. 23.  7.  7.  8.  9.  3.
  3.  4.  4.  8. 13. 16. 11. 22. 19. 17.  8.  9.  8.  7.  2.  2.  0.  4.
  5.  0.  2.  0.  1.  0.  1.  2.  2.  2.  1.  2.  0.  0.  1.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]",121
25,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  4.
  5.  6. 17. 33. 41. 54. 36. 26. 18.  9. 14.  7.  3.  2.  6.  3.  4.  0.
  0.  3.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  2.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",122
26,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  2.  1.  1.  4.  3.  5. 22. 56. 52. 35. 32. 17. 12. 16.
  7.  6.  4.  3.  2.  1.  1.  1.  0.  2.  1.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  1.  0.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",123
27,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  1.  0.  0.  0.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.  1.  1.
  0.  0.  0.  1. 34. 39. 50. 38. 32. 27. 19. 13. 10.  6. 11.  3.  3.  2.
  3.  0.  1.  0.  0.  1.  1.  0.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.]",124
28,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  5.  6.  8.  3.  4. 19. 26. 48. 37.
 35. 29. 27.  7.  9.  4.  6.  3.  1.  3.  1.  1.  2.  1.  2.  1.  0.  0.
  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  1.  0.  1.  1.  2.  1.  0.  1.  0.  1.  1.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  0.
  0.  0.  0.  0.  0.  0.]",125
29,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  1.  2.  3.  3.  3.  6.  9. 16. 26. 43. 44. 27. 30. 18.
 15. 11. 12.  5.  6.  3.  3.  2.  1.  0.  0.  1.  1.  1.  1.  0.  0.  0.
  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.
  1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  0.  1.]",126
30,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  1.  7. 32. 55. 62. 37. 24. 17. 12. 10.  5. 12.  2.  2.
  3.  2.  3.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  1.  1.  0.  0.  0.  1.  0.  0.
  0.  0.  2.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  1.  2.  2.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.]",127
31,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  1. 15. 23. 45. 51. 29. 27. 25. 13. 12. 20.  9.  2.  5.
  8.  3.  2.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.
  1.  0.  0.  0.  0.  0.]",128
32,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1. 16. 10.
 15. 28. 34. 41. 29. 30. 14. 13.  8. 15.  8.  6.  7.  5.  0.  5.  1.  0.
  0.  0.  1.  0.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.]",129
33,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  0.  1.  1.  0.  3.  7.  2.  4.  5.  3.  8.  6.  6. 15.
 18. 30. 47. 24. 33. 22. 20.  9.  8.  8.  1.  2.  0.  3.  0.  2.  0.  3.
  0.  0.  2.  0.  0.  0.  1.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  1.  0.  1.  0.  1.  1.  0.  0.
  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  1.  1.]",12
34,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  1.  3.  1.  4.  8.  8.  4.  3. 10. 14.  5.  9.  8. 13. 10. 24.
 18. 26. 15. 17. 10. 11. 12.  9.  5.  2.  8.  8.  4.  8.  3.  2.  1.  1.
  2.  2.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.
  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.
  0.  0.  0.  0.  0.  1.  0.  0.  1.  2.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",130
