,n,spread-type,simple-spread-chance,ba-m,cit-media-influence,cit-cit-influence,flint-organizing-strategy,organizing-capacity,repetition,data,run_id
0,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  2. 26. 49. 50. 41. 34. 27. 18. 14.  7.  8.  5.  1.  0.  2.  1.
  2.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  1.  1.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",1000
1,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  1.  0.  1.  5.  4.  9.  6. 12.  9. 19.  9. 10. 13.
 10. 10.  8. 12. 16. 10. 20. 18. 14.  5.  4.  7.  2.  3.  3.  8. 13.  5.
  6.  3.  3.  4.  1.  3.  4.  0.  0.  0.  1.  4.  1.  0.  0.  0.  1.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  2.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",100
2,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  2. 29. 38. 50. 49. 33.
 27. 15. 10.  9. 13. 10.  5.  2.  1.  4.  2.  1.  1.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]",101
3,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  2.  1.  0.  1.  2.  3.  4. 16. 23. 28. 29. 28. 26. 24. 26. 18. 15.
 12.  6.  6.  4.  3.  1.  2.  5.  1.  2.  2.  1.  2.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  1.  1.  2.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",102
4,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  1.  1.  8. 41. 54. 37. 38. 24. 23. 17.  9. 11.  6.
  1.  4.  1.  2.  1.  3.  3.  1.  1.  1.  1.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.
  1.  2.  1.  1.  0.  0.  1.  1.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  1.  0.  0.  0.  1.]",103
5,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  1.  3.  1.  2.
  4.  2.  1.  4.  5.  5. 13. 13. 19. 15. 17. 10. 10. 10.  7.  3.  7. 17.
 23. 24. 14. 10. 10. 10.  8.  4.  2.  5.  3.  0.  0.  0.  2.  0.  0.  1.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  1.  1.  0.  2.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",104
6,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  0.  0.  0.  0.  1.  5. 12. 44. 53. 48. 25. 31. 17. 18.
  7.  8.  6.  2.  5.  3.  0.  1.  1.  0.  0.  0.  0.  0.  1.  2.  0.  0.
  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  1.  2.  0.  0.  1.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0.  0.]",105
7,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  0.  1.  8.  6.  9. 10. 17. 20. 22. 19. 22. 16. 16. 13.  8.
  6.  4.  1.  1.  3.  0.  3.  8. 16. 13. 14. 18.  2.  5.  6.  3.  1.  3.
  1.  1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  1.  0.]",106
8,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  0.  0.  1.  2.  2.  3.  4.  3. 15. 28. 55. 39. 28. 25. 28. 16. 14.
 10.  2.  4.  2.  3.  2.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]",107
9,300,simple,0.5,10,0.01,0.5,neighbors-of-neighbors,1,0,"[ 0.  1.  0.  0.  0.  0.  0.  1.  2.  0.  4.  1.  1.  4.  7.  9.  7.  7.
  4.  3.  4.  7.  4.  4.  5.  7.  2.  6.  6.  4.  5.  2.  3. 20. 27. 16.
 16. 18. 17. 11.  8.  9.  6.  3.  6.  6.  3.  3.  2.  4.  4.  1.  0.  1.
  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  1.  1.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  0.  1.  0.  0.  0.  0.]",108
