,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,peak-time
149,3,0.5,0.01,0.75,18
150,3,0.5,0.05,0.01,39.5
151,3,0.5,0.05,0.05,26
152,3,0.5,0.05,0.1,17
153,3,0.5,0.05,0.25,13
154,3,0.5,0.05,0.5,12
155,3,0.5,0.05,0.75,10
156,3,0.5,0.1,0.01,29
157,3,0.5,0.1,0.05,19.5
158,3,0.5,0.1,0.1,16
159,3,0.5,0.1,0.25,12
160,3,0.5,0.1,0.5,9
161,3,0.5,0.1,0.75,8
162,3,0.5,0.25,0.01,12
163,3,0.5,0.25,0.05,12
164,3,0.5,0.25,0.1,9
165,3,0.5,0.25,0.25,9
166,3,0.5,0.25,0.5,8
167,3,0.5,0.25,0.75,7
168,3,0.5,0.5,0.01,10.5
169,3,0.5,0.5,0.05,9
170,3,0.5,0.5,0.1,9
171,3,0.5,0.5,0.25,6
172,3,0.5,0.5,0.5,6
173,3,0.5,0.5,0.75,6
174,3,0.5,0.75,0.01,8.5
175,3,0.5,0.75,0.05,6
176,3,0.5,0.75,0.1,6.5
177,3,0.5,0.75,0.25,5
178,3,0.5,0.75,0.5,5
179,3,0.5,0.75,0.75,5
180,3,0.75,0.01,0.01,46
181,3,0.75,0.01,0.05,23
182,3,0.75,0.01,0.1,23
183,3,0.75,0.01,0.25,17.5
184,3,0.75,0.01,0.5,14
185,3,0.75,0.01,0.75,11
186,3,0.75,0.05,0.01,27
187,3,0.75,0.05,0.05,16
188,3,0.75,0.05,0.1,14
189,3,0.75,0.05,0.25,10
190,3,0.75,0.05,0.5,8
191,3,0.75,0.05,0.75,7
192,3,0.75,0.1,0.01,22
193,3,0.75,0.1,0.05,13
194,3,0.75,0.1,0.1,11
195,3,0.75,0.1,0.25,8
196,3,0.75,0.1,0.5,7
197,3,0.75,0.1,0.75,6
198,3,0.75,0.25,0.01,15
199,3,0.75,0.25,0.05,9
200,3,0.75,0.25,0.1,7
201,3,0.75,0.25,0.25,6
202,3,0.75,0.25,0.5,6
203,3,0.75,0.25,0.75,5
204,3,0.75,0.5,0.01,5
205,3,0.75,0.5,0.05,5
206,3,0.75,0.5,0.1,7
207,3,0.75,0.5,0.25,4
208,3,0.75,0.5,0.5,4
209,3,0.75,0.5,0.75,5
210,3,0.75,0.75,0.01,4
211,3,0.75,0.75,0.05,5
212,3,0.75,0.75,0.1,5
213,3,0.75,0.75,0.25,4
214,3,0.75,0.75,0.5,4
215,3,0.75,0.75,0.75,4
216,10,0.01,0.01,0.01,76
217,10,0.01,0.01,0.05,51
218,10,0.01,0.01,0.1,69
219,10,0.01,0.01,0.25,59
220,10,0.01,0.01,0.5,64.5
221,10,0.01,0.01,0.75,60
222,10,0.01,0.05,0.01,45
223,10,0.01,0.05,0.05,52
224,10,0.01,0.05,0.1,65
225,10,0.01,0.05,0.25,57.5
226,10,0.01,0.05,0.5,57
227,10,0.01,0.05,0.75,55
228,10,0.01,0.1,0.01,38
229,10,0.01,0.1,0.05,50.5
230,10,0.01,0.1,0.1,52
231,10,0.01,0.1,0.25,58.5
232,10,0.01,0.1,0.5,54.5
233,10,0.01,0.1,0.75,64.5
234,10,0.01,0.25,0.01,34.5
235,10,0.01,0.25,0.05,40.5
236,10,0.01,0.25,0.1,48
237,10,0.01,0.25,0.25,76.5
238,10,0.01,0.25,0.5,78
239,10,0.01,0.25,0.75,75
240,10,0.01,0.5,0.01,42
241,10,0.01,0.5,0.05,65
242,10,0.01,0.5,0.1,55
243,10,0.01,0.5,0.25,78.5
244,10,0.01,0.5,0.5,82.5
245,10,0.01,0.5,0.75,80.5
246,10,0.01,0.75,0.01,36
247,10,0.01,0.75,0.05,77
248,10,0.01,0.75,0.1,59
249,10,0.01,0.75,0.25,71
250,10,0.01,0.75,0.5,82
251,10,0.01,0.75,0.75,84.5
252,10,0.05,0.01,0.01,63
253,10,0.05,0.01,0.05,64
254,10,0.05,0.01,0.1,69
255,10,0.05,0.01,0.25,75
256,10,0.05,0.01,0.5,73
257,10,0.05,0.01,0.75,72.5
258,10,0.05,0.05,0.01,48.5
259,10,0.05,0.05,0.05,66.5
260,10,0.05,0.05,0.1,81.5
261,10,0.05,0.05,0.25,78.5
262,10,0.05,0.05,0.5,59
263,10,0.05,0.05,0.75,54.5
264,10,0.05,0.1,0.01,64
265,10,0.05,0.1,0.05,73.5
266,10,0.05,0.1,0.1,70
267,10,0.05,0.1,0.25,70.5
268,10,0.05,0.1,0.5,49
269,10,0.05,0.1,0.75,47
270,10,0.05,0.25,0.01,57
271,10,0.05,0.25,0.05,56
272,10,0.05,0.25,0.1,60.5
273,10,0.05,0.25,0.25,44
274,10,0.05,0.25,0.5,31
275,10,0.05,0.25,0.75,31
276,10,0.05,0.5,0.01,43
277,10,0.05,0.5,0.05,50
278,10,0.05,0.5,0.1,48
279,10,0.05,0.5,0.25,27
280,10,0.05,0.5,0.5,27
281,10,0.05,0.5,0.75,24
282,10,0.05,0.75,0.01,20
283,10,0.05,0.75,0.05,39.5
284,10,0.05,0.75,0.1,31
285,10,0.05,0.75,0.25,31
286,10,0.05,0.75,0.5,23
287,10,0.05,0.75,0.75,21
288,10,0.1,0.01,0.01,55
289,10,0.1,0.01,0.05,58
290,10,0.1,0.01,0.1,71.5
291,10,0.1,0.01,0.25,66
292,10,0.1,0.01,0.5,61.5
293,10,0.1,0.01,0.75,51
294,10,0.1,0.05,0.01,57.5
295,10,0.1,0.05,0.05,63
296,10,0.1,0.05,0.1,66
297,10,0.1,0.05,0.25,45.5
298,10,0.1,0.05,0.5,36
299,10,0.1,0.05,0.75,31.5
300,10,0.1,0.1,0.01,66.5
301,10,0.1,0.1,0.05,64
302,10,0.1,0.1,0.1,44
303,10,0.1,0.1,0.25,38
304,10,0.1,0.1,0.5,28
305,10,0.1,0.1,0.75,23.5
306,10,0.1,0.25,0.01,48
307,10,0.1,0.25,0.05,45
308,10,0.1,0.25,0.1,29
309,10,0.1,0.25,0.25,33
310,10,0.1,0.25,0.5,16
311,10,0.1,0.25,0.75,17
312,10,0.1,0.5,0.01,34
313,10,0.1,0.5,0.05,23.5
314,10,0.1,0.5,0.1,20
315,10,0.1,0.5,0.25,18
316,10,0.1,0.5,0.5,14
317,10,0.1,0.5,0.75,12
318,10,0.1,0.75,0.01,28
319,10,0.1,0.75,0.05,24
320,10,0.1,0.75,0.1,24
321,10,0.1,0.75,0.25,14
322,10,0.1,0.75,0.5,13
323,10,0.1,0.75,0.75,16
324,10,0.25,0.01,0.01,63
325,10,0.25,0.01,0.05,64.5
326,10,0.25,0.01,0.1,45
327,10,0.25,0.01,0.25,33
328,10,0.25,0.01,0.5,26
329,10,0.25,0.01,0.75,24
330,10,0.25,0.05,0.01,63.5
331,10,0.25,0.05,0.05,32
332,10,0.25,0.05,0.1,29
333,10,0.25,0.05,0.25,17
334,10,0.25,0.05,0.5,13
335,10,0.25,0.05,0.75,12
336,10,0.25,0.1,0.01,33
337,10,0.25,0.1,0.05,27
338,10,0.25,0.1,0.1,18
339,10,0.25,0.1,0.25,17
340,10,0.25,0.1,0.5,13
341,10,0.25,0.1,0.75,9
342,10,0.25,0.25,0.01,21
343,10,0.25,0.25,0.05,17
344,10,0.25,0.25,0.1,15
345,10,0.25,0.25,0.25,14
346,10,0.25,0.25,0.5,9
347,10,0.25,0.25,0.75,9
348,10,0.25,0.5,0.01,17.5
349,10,0.25,0.5,0.05,17
350,10,0.25,0.5,0.1,11
351,10,0.25,0.5,0.25,9
352,10,0.25,0.5,0.5,7
353,10,0.25,0.5,0.75,7
354,10,0.25,0.75,0.01,19
355,10,0.25,0.75,0.05,10
356,10,0.25,0.75,0.1,9
357,10,0.25,0.75,0.25,7
358,10,0.25,0.75,0.5,6
359,10,0.25,0.75,0.75,6
360,10,0.5,0.01,0.01,55
361,10,0.5,0.01,0.05,36
362,10,0.5,0.01,0.1,24.5
363,10,0.5,0.01,0.25,15
364,10,0.5,0.01,0.5,10
365,10,0.5,0.01,0.75,12
366,10,0.5,0.05,0.01,38
367,10,0.5,0.05,0.05,15
368,10,0.5,0.05,0.1,13
369,10,0.5,0.05,0.25,10
370,10,0.5,0.05,0.5,10
371,10,0.5,0.05,0.75,7
372,10,0.5,0.1,0.01,27
373,10,0.5,0.1,0.05,13
374,10,0.5,0.1,0.1,12
375,10,0.5,0.1,0.25,9
376,10,0.5,0.1,0.5,7
377,10,0.5,0.1,0.75,6
378,10,0.5,0.25,0.01,14
379,10,0.5,0.25,0.05,11.5
380,10,0.5,0.25,0.1,7
381,10,0.5,0.25,0.25,7
382,10,0.5,0.25,0.5,5
383,10,0.5,0.25,0.75,5
384,10,0.5,0.5,0.01,9
385,10,0.5,0.5,0.05,8
386,10,0.5,0.5,0.1,6
387,10,0.5,0.5,0.25,5
388,10,0.5,0.5,0.5,4
389,10,0.5,0.5,0.75,4.5
390,10,0.5,0.75,0.01,10
391,10,0.5,0.75,0.05,7
392,10,0.5,0.75,0.1,5
393,10,0.5,0.75,0.25,6
394,10,0.5,0.75,0.5,4
