simple-spread-chance,organizing-capacity,organizing-strategy,ba-m,peak time
0.75,1,high-degree-media,10,5.156666666666666
0.75,1,neighbors-of-neighbors,3,3.0233333333333334
0.75,1,neighbors-of-neighbors,10,6.5
0.75,5,high-degree-cit-and-media,3,4.909999999999999
0.75,5,high-degree-cit-and-media,10,5.666666666666667
0.75,5,high-degree-citizens,3,14.026666666666666
0.75,5,high-degree-citizens,10,4.926666666666667
0.75,5,high-degree-media,3,11.959999999999996
0.75,5,high-degree-media,10,10.459999999999999
0.75,5,neighbors-of-neighbors,3,2.193333333333334
0.75,5,neighbors-of-neighbors,10,0.8233333333333333
0.75,10,high-degree-cit-and-media,3,7.243333333333333
0.75,10,high-degree-cit-and-media,10,5.1433333333333335
0.75,10,high-degree-citizens,3,5.426666666666667
0.75,10,high-degree-citizens,10,12.693333333333335
0.75,10,high-degree-media,3,6.873333333333334
0.75,10,high-degree-media,10,2.4433333333333334
0.75,10,neighbors-of-neighbors,3,1.3233333333333335
0.75,10,neighbors-of-neighbors,10,1.7266666666666666
