,Unnamed: 0,rmse,total_error,corr_coef,model
69,1865,308.92473467619664,875.888888888889,0.3859627284562033,med-con-infl
3,371,419.41856183669046,1587.444444444443,0.1439487110187513,med-con-infl
131,2017,440.4278752436648,1415.8888888888891,0.401319691773387,med-con-infl
1084,3315,455.1842105263158,1471.0,0.2239373868386601,med-con-infl
771,2933,472.7280701754386,1287.0,0.4686515644751173,med-con-infl
73,1894,475.440620782726,1349.7692307692305,0.2887260407008356,med-con-infl
307,2295,476.7718215291314,1802.1111111111088,0.2004920929564379,med-con-infl
11,609,521.9276315789474,1774.5,0.1423715619287183,med-con-infl
551,2572,522.1945048571843,1628.0909090909086,0.2141506761553843,med-con-infl
74,1896,523.4548872180451,1366.1428571428576,0.4325342230747556,med-con-infl
46,1637,527.0263157894736,1903.0,0.0856229353105126,med-con-infl
416,2427,532.0701754385965,1758.0,0.2733091531366652,med-con-infl
1118,3349,534.5182599355531,1512.714285714285,0.0853968496584612,med-con-infl
1080,3311,546.7631578947369,1571.0,0.2623532685800421,med-con-infl
942,3166,572.9144736842105,1841.5,0.1807483588378513,med-con-infl
126,2002,585.6358586778365,1569.4705882352953,0.3639388280701965,med-con-infl
123,1977,588.5819906910132,1457.571428571429,0.4654693009460103,med-con-infl
931,3144,596.6557465091298,1962.428571428572,0.3246850334326578,med-con-infl
745,2880,599.2859939103959,1725.1818181818176,0.1372700987200486,med-con-infl
1240,3479,599.4305406373077,1900.4285714285704,-0.1714792643206762,med-con-infl
