simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time
0.01,0.01,0.25,3,42.0
0.01,0.01,0.75,10,35.0
0.01,0.05,0.5,3,35.0
0.01,0.05,0.75,10,61.0
0.01,0.1,0.1,3,67.0
0.01,0.1,0.75,3,87.0
0.01,0.1,0.75,10,39.5
0.01,0.25,0.01,3,42.0
0.01,0.25,0.05,3,74.0
0.01,0.25,0.1,3,80.0
0.01,0.25,0.25,3,52.5
0.01,0.25,0.75,3,78.0
0.01,0.25,0.75,10,46.0
0.01,0.5,0.01,3,52.5
0.01,0.5,0.25,3,65.5
0.01,0.5,0.5,3,28.5
0.01,0.5,0.75,3,77.5
0.01,0.5,0.75,10,70.57142857142857
0.01,0.75,0.05,3,79.5
0.01,0.75,0.25,3,56.0
0.01,0.75,0.5,3,57.8
0.01,0.75,0.5,10,38.0
0.01,0.75,0.75,3,53.0
0.01,0.75,0.75,10,51.0
0.05,0.01,0.01,10,42.0
0.05,0.01,0.05,3,35.0
0.05,0.01,0.05,10,25.0
0.05,0.01,0.1,3,98.0
0.05,0.01,0.1,10,70.0
0.05,0.01,0.25,3,74.6
0.05,0.01,0.25,10,57.0
0.05,0.01,0.5,3,66.26315789473684
0.05,0.01,0.5,10,26.61904761904762
0.05,0.01,0.75,3,52.64
0.05,0.01,0.75,10,24.272727272727273
0.05,0.05,0.01,3,38.333333333333336
0.05,0.05,0.01,10,52.5
0.05,0.05,0.05,3,67.33333333333333
0.05,0.05,0.05,10,46.0
0.05,0.05,0.1,3,76.14285714285714
0.05,0.05,0.1,10,48.0
0.05,0.05,0.25,3,62.5
0.05,0.05,0.25,10,35.48
0.05,0.05,0.5,3,58.72
0.05,0.05,0.5,10,34.041666666666664
0.05,0.05,0.75,3,44.583333333333336
0.05,0.05,0.75,10,19.76
0.05,0.1,0.01,3,60.2
0.05,0.1,0.01,10,57.25
0.05,0.1,0.05,3,49.77777777777778
0.05,0.1,0.05,10,57.666666666666664
0.05,0.1,0.1,3,55.285714285714285
0.05,0.1,0.1,10,52.166666666666664
0.05,0.1,0.25,3,63.94736842105263
0.05,0.1,0.25,10,44.44
0.05,0.1,0.5,3,48.333333333333336
0.05,0.1,0.5,10,30.0
0.05,0.1,0.75,3,43.44
0.05,0.1,0.75,10,19.96
0.05,0.25,0.01,3,50.666666666666664
0.05,0.25,0.01,10,46.1
0.05,0.25,0.05,3,62.06666666666667
0.05,0.25,0.05,10,55.73684210526316
0.05,0.25,0.1,3,60.473684210526315
0.05,0.25,0.1,10,44.88
0.05,0.25,0.25,3,59.12
0.05,0.25,0.25,10,38.96
0.05,0.25,0.5,3,48.96
0.05,0.25,0.5,10,26.44
0.05,0.25,0.75,3,32.2
0.05,0.25,0.75,10,19.04
0.05,0.5,0.01,3,39.0
0.05,0.5,0.01,10,42.04545454545455
0.05,0.5,0.05,3,58.63636363636363
0.05,0.5,0.05,10,45.48
0.05,0.5,0.1,3,51.09090909090909
0.05,0.5,0.1,10,35.24
0.05,0.5,0.25,3,44.4
0.05,0.5,0.25,10,26.88
0.05,0.5,0.5,3,37.96
0.05,0.5,0.5,10,18.16
0.05,0.5,0.75,3,32.88
0.05,0.5,0.75,10,16.56
0.05,0.75,0.01,3,43.64705882352941
0.05,0.75,0.01,10,42.23529411764706
0.05,0.75,0.05,3,58.208333333333336
0.05,0.75,0.05,10,34.08
0.05,0.75,0.1,3,57.2
0.05,0.75,0.1,10,36.12
0.05,0.75,0.25,3,40.32
0.05,0.75,0.25,10,27.28
0.05,0.75,0.5,3,35.88
0.05,0.75,0.5,10,17.76
0.05,0.75,0.75,3,27.12
0.05,0.75,0.75,10,14.44
