run,n,spread-type,simple-spread-chance,graph-type,ba-m,citizen-media-influence,citizen-citizen-influence,citizen-media-gradual-scalar,flint-community-size,data
0,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  1.  3.  3.  5.  6.  2.  2.  2.  3.  3.  1.  2.  2.  3.  4.  0.  1.
  1.  1.  1.  0.  0.  0.  0.  1.  0.  0.  2.  2.  2.  0.  0.  0.  2.  2.
  0.  0.  1.  1.  2.  1.  1.  1.  2.  3.  2.  2.  2.  4.  4.  0.  0.  2.
  3.  3.  1.  1.  1.  1.  3.  0.  2.  3.  3.  5.  0.  0.  0.  1.  1.  1.
  1.  1.  2.  3.  0.  0.  6.  6.  6.  0.  0.  0.  0.  0.  1.  3.  4.  4.
  6.  0.  0.  0.  0.  0.  1.  6.  7.  7.  7.  0.  0.  0.  1.  1.  0.  0.
  0.  1.  1.  0.  1.  1.  1.  2.  0.  1.  1.  6.  6.  0.  0.  0.  0.  1.
  0.  0.  2.  4.  4.  0.  0.  1.  1.  1.  0.  0.  4.  4.  5.  0.  0.  0.
  1.  1.  0.  0.  1.  8.  8.  0.  0.  0.  1.  5.  6.  6.  7.  8. 13.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  1.  1.  1.
  2.  0.  0.  2.  2.  2.  1.  1.  1.  1.  2.  3.  3.  3.  3.  3.  1.  1.
  1.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.
  1.  3.  3.  4.  4.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  3.  3.  5.  5.  0.
  0.  0.  0.  0.  1.  1.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0.  1.  1.
  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  0.  1.  1.  1.  1.  2.  2.
  2.  2.  2.  1.  2.  2.  2.  2.  0.  0.  0.  1.  1.  0.  0.  1.  1.  1.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.
  1.  1.  1.  1.  1.  3.  3.  1.  1.  1.  1.  1.  0.  9.  9. 10. 10.  0.
  0.  0.  2.  3.  0.  2.  2.  2.  2.  0.  0.  1.  2.  2.  0.  1.  1.  1.
  1.  0.  0.  0.  0.  2.  1.  2.  3.  8.  8.  0.  0.  0.  0.  0.  0.  1.
  3.  3.  3.  1.  1.  1.  1.  2.  0.  0.  0.  0.  0.  0.  7.  7.  7.  7.
  0.  0.  0.  8. 14.  0.  0.  0.  0.  0.  1.  2.  2.  2.  3.  0.  0.  1.
  1.  1.  0.  0.  0.  2.  2.  0.  0.  0.  0.  0.  0.  0.  1.  2.  2.  2.
  3.  3.  5.  5.  0.  0.  0.  7.  7.  6.  6.  6.  6.  8.  0.  0.  0.  0.
  6.  0.  0.  1.  1.  1.  1.  1.  1.  1.  2.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  3.  3.  3.  3.  3.  0.  0.  1.  1.  2.  0.  1.  1.  2.  2.
  0.  0.  5.  5.  5.  0.  1.  1.  4.  6.  1.  2.  2.  2.]"
1,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[0. 0. 0. 0. 0. 0. 1. 2. 3. 3. 3. 0. 1. 1. 1. 2. 0. 1. 1. 1. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2. 0. 0.
 0. 0. 0. 0. 0. 1. 3. 3. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1.
 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 2. 2.
 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 4. 4. 0. 0. 0. 0. 0. 1. 1. 1.
 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.
 0. 0. 0. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 4. 6. 6. 6. 6. 0. 3. 3. 4. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 3. 3. 3. 5. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1.
 1. 1. 1. 1. 1. 1. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
 1. 1. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.
 1. 0. 0. 0. 0. 0. 2. 2. 3. 3. 3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 1. 1. 1.
 1. 1. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 0. 0. 0. 0. 0. 1.
 1. 1. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
2,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[0. 1. 1. 2. 3. 3. 1. 1. 2. 2. 2. 1. 1. 1. 2. 3. 0. 0. 2. 2. 2. 0. 0. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 1.
 1. 1. 1. 1. 1. 1. 2. 3. 2. 3. 3. 3. 4. 0. 2. 2. 2. 2. 2. 2. 2. 3. 3. 0.
 1. 1. 1. 1. 0. 0. 2. 2. 2. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 2. 2. 2. 1. 1. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1.
 1. 1. 0. 1. 1. 1. 1. 1. 2. 2. 2. 2. 0. 0. 0. 0. 4. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 0. 2. 2. 4. 4. 4. 4. 4. 4. 0.
 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.
 0. 0. 1. 1. 1. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 2. 2. 2. 0. 2. 2. 3.
 6. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 2. 0. 1. 1. 1. 1. 0. 0. 0.
 0. 0. 1. 1. 2. 2. 3. 0. 1. 1. 1. 1. 0. 2. 2. 3. 3. 1. 1. 2. 2. 2. 0. 0.
 0. 0. 0. 0. 0. 1. 2. 3. 0. 1. 1. 1. 1. 1. 1. 1. 1. 2. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 3. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
 1. 8. 8. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 3. 3. 3. 3. 3. 0. 1. 1. 1. 1. 0. 8. 8. 8. 8. 0. 0. 0. 0. 0.
 0. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0.
 1. 0. 0. 1. 2. 2. 0. 0. 1. 1. 1. 0. 0. 0. 2. 2. 0. 0. 2. 2.]"
3,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  1.  3.  5.  5.  5.  2.  2.  2.  3.  3.  0.  3.  3.  4.  5.  0.  0.
  0.  1.  3.  0.  0.  0.  0.  1.  2.  2.  3.  4.  4.  0.  0.  0.  0.  0.
  0.  1.  3.  3.  3.  1.  1.  1.  1.  2.  0.  0.  1.  1.  2.  1.  2.  2.
  2.  3.  1.  1.  2.  2.  4.  0.  7.  8.  8.  9.  2.  2.  3.  3.  5.  0.
  1.  2.  2.  3.  0.  0.  0.  0.  1.  0.  1.  1.  1.  2.  0.  0. 20. 20.
 20.  0.  0.  0.  0.  1.  1.  4.  4.  4.  4.  4.  4.  5.  5.  6.  0.  0.
  1.  1.  1.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  0.  0.  0.  3.  3.  0.  1.  1.  3.  3.  0.  1.  1.  1.  2.  0.  1.  2.
  2.  2.  0.  6.  6.  7.  7.  0.  1.  1.  1.  1.  0.  0.  2.  3.  3.  2.
  2.  2.  8.  9.  0.  0. 15. 15. 15.  2.  4.  4.  4.  4.  0.  1.  2.  2.
  3.  0.  9.  9.  9.  9.  0.  0.  0. 15. 15.  0.  0.  0.  0.  0.  1.  1.
  1.  1.  1.  1.  2. 13. 14. 18.  1.  1.  1.  1.  2. 15. 15. 15. 16. 16.
  0.  0.  1.  1.  1.  0.  8.  8.  8.  8.  0.  1.  1.  1.  1.  0.  1.  1.
  1.  5.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1. 10.
 10. 10. 10. 12.  0.  6.  6.  6.  6.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  1.  0.  0.  1.  9.  9.  0.  0.  1.  1.  1.  2.  2.  2. 14. 14.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  1.  8. 21. 23. 23. 23.  2.  7.  7.  7.  8.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  2.  2.  0.  0.  3.
  6. 11.  0.  0.  0.  0.  3.  2.  4.  6.  6.  6.  0.  0.  5.  5.  5.  0.
  0.  0.  1.  2.  0.  0.  0.  0.  0.  6.  6.  6.  6.  6.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  0.  0.  0.  0.  0.  2.  2.
  2.  2.  2.  0.  0.  1.  1.  2.  0.  0.  4. 12. 19.  0.  1.  1.  1.  1.
  1.  3.  4.  4.  4.  0.  4.  4.  4.  4.  0.  0.  0.  1.  5.  0.  1.  1.
  1.  2.  0.  0.  3.  4.  8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  1.  1.  1.  0.  1.  1.  1.  1.  0.  2.  2.  2.  2.  0.  0.  0.  0.
  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  0.  0.
  0.  5.  5.  0.  0.  1.  1.  6.  0.  0.  0.  0.  0.  0.  1.  1.  1.  2.
  2.  6.  6.  6.  6.  2.  2.  5.  5.  5.  0.  0.  0.  0.]"
4,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  0.  1.  1.  2.  2.  1.  1.  1.  1.  1.  0.  0.  0.  1.  1.  0.  0.
  0.  0.  1.  1.  1.  2.  2.  2.  0.  1.  2.  2.  2.  0.  1.  2.  2.  2.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  1.
  1.  1.  2.  2.  2.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  1.  1.  1.  0.  7.  7.  7.  7.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0. 10. 10.  0.  1.  1.  1.  1.  0.  0.  1.  1.  2.
  5.  9.  9.  9.  9.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  9.  9.
  9.  9.  0.  0.  0.  0.  0.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  0.
  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  3.  3.
  3.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  3.
  8.  8.  8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  3.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  1.  1.  1.  1.  1.  5.  0.  4.  4.  4.  4.  0.  0.  0.  0.  0.  0.
  0.  0.  3.  3.  1.  1.  1.  1.  1.  2.  4.  6.  6.  6.  0.  0.  0.  0.
  0.  2.  2.  2.  2.  2.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  0.  0.
  1.  1.  1.  2.  2.  2.  2.  2.  0.  3.  3.  3.  3.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  2.  3.  3.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.
  2.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  2.  2.  2.  2.  1.  1.
  1.  2.  3.  0.  3.  3.  3.  4.  0.  1.  9.  9.  9.  0.  0.  0.  0.  0.
  0.  1.  1.  1.  1.  0.  0.  2.  2.  2.  1.  1.  1.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.
  0.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  2.
  2.  2.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.  1.  1.]"
5,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  0.  0.  1.  3.  3.  0.  1.  1.  2.  2.  2.  4.  5.  5.  5.  0.  0.
  1.  1.  1.  0.  0.  1.  1.  3.  0.  0.  1.  1.  1.  0.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  0.  0.  0.  1.  2.  3.  3.  3.
  4.  4.  1.  2.  3.  3.  3.  0.  1.  1.  1.  1.  0.  2.  2.  2.  2.  0.
  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  2. 16. 16. 16.  1.  1.  1.  1.
  1.  0.  0.  0.  1.  1.  1.  1.  1.  1. 11.  0.  0.  9. 10. 11.  0.  1.
  1.  2.  3.  0. 12. 13. 13. 13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  1.  1.  1.  0.  6.  6.  7.  7.  0.  5.  5.  5.  5.  6.  9. 10.
 10. 10.  0.  0.  0.  1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  1.
  1.  5.  5.  5.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  2.  2.  2.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  6.
  6.  7.  7.  0.  0.  0.  0.  0.  1.  1.  1.  2.  5.  6.  6.  7.  7.  7.
  0.  2.  2.  2.  2.  0.  0.  0.  0.  0.  0.  6.  6.  6.  6.  0.  1.  1.
  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  0.
  0.  0.  0.  4.  0.  0.  0.  0.  0.  0.  6.  6.  6.  9.  1.  1.  2.  4.
  4.  4.  4.  4.  5.  6.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  4.  5.  5.  0.  0.  0.  0.  0.
  0.  2.  3.  3.  3.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  3.  4.  4.
  4.  4.  0.  0.  0.  0.  0.  0.  6.  6.  7.  7.  5.  5.  5.  8.  8.  0.
  0.  0.  3.  3.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.
  1.  0.  0.  2.  2.  3.  0.  0.  2.  2.  2.  0.  0.  2.  2.  2.  7.  7.
  9.  9.  9.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  3.  3.  3.  3.
  0.  0.  1.  1.  1.  0.  0.  0.  1.  1.  1.  5.  5.  8.  8.  0.  0.  0.
  0.  0.  0.  1.  1.  1.  2.  0.  0.  1.  2.  2.  0.  1.  1.  1.  1.  2.
  2.  2.  2.  2.  0.  0.  0.  0.  0.  2.  2.  2.  3.  3.  0.  0.  0.  0.
  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0. 14. 14.
 16. 16. 19.  0.  0.  0. 12. 12.  0.  2.  2.  5. 10.  0.  0.  2.  5.  5.
  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
6,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  0.  0.  0.  1.  3.  1.  4.  7.  9. 10.  0.  0.  0.  0.  2.  1.  2.
  2.  2.  3.  0.  0.  1.  1.  2.  2.  3.  4.  5.  5.  1.  1.  2.  2.  2.
  1.  1.  1.  1.  2.  0.  0.  1.  3.  3.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  2.  0.  0.  0.  0.  0.  1.  2.  3.  4.  4.  0.  0.  0.  1.  2.  0.
  0.  0.  0.  0.  1.  1.  1.  1. 10.  0.  6.  6.  6.  6.  1.  1.  1.  2.
  2.  1.  1.  1.  1.  1.  1.  1.  2.  3.  3.  1.  2.  2.  2.  2.  0.  0.
  1.  1.  1.  0.  0.  1.  1.  1.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.
  0.  0.  0.  0.  1.  0.  7.  7.  8.  8.  0.  0.  2.  2.  2.  0.  0.  0.
  0.  2.  0.  0.  0.  1.  1.  0.  0.  1.  3.  3.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  1.  2.  2.  2.  2.  0.  0.  1.  1.  4.  0.  0.  0.  0.
  0.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.  3.  4.  4.  4.  4.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  5.  0.  0.  0.  6.  6.  5.  5.  5.  5.  5.  0.  0.  0.
  0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.  0.
  0.  0.  0.  4.  2.  2.  2.  2.  2.  1.  1.  1.  1.  1.  0.  5.  5.  6.
  6.  0.  1.  1.  6. 11.  1.  2.  3.  4.  7.  0.  0.  0.  1.  1.  0.  0.
  2.  2.  2.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1. 11. 11. 11. 11. 11.
  1.  1.  1.  1.  2.  0.  0.  0.  2.  2.  0.  0.  0.  0.  0.  1.  1.  1.
  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  3.  3.  3.  3.  0.  0.  0.  1.  6.  0.  0.  0.  1.  1.  0.  1.  1.  1.
  1.  6.  6.  6.  6.  6.  2.  2.  2.  2.  2.  0.  1.  1.  1.  1.  0.  5.
  6.  6.  6.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  2.  2.  3.  4.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  0.  0. 16. 16.  0.  0.  0.  0.  3.  0.
  1.  3.  3.  4.  0.  0.  0.  0.  0.  0.  4. 14. 15. 15.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  0.  0.  2.  2.  2.  0.  0.  1.  1.  2.  8.  8.
  9.  9.  9.  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  0.  0.  0.  0.  1.
  0.  0.  1.  1. 14.  0.  0.  1.  1.  1.  0.  0.  0.  0.]"
7,1000,simple,0.1,barabasi-albert,3,4.79,0.1,1,0.005,"[ 0.  1.  1.  3.  4.  4.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  2.
  2.  4.  4.  0.  1.  1.  2.  3.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.
  2.  2.  2.  3.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  1.  2.  0.  0.  0.  1.  2.  2.  2.  2.  2.  2.  0.  1.  1.  2.  3.  1.
  1.  1.  1.  1.  0.  0.  0.  2.  2.  0.  1.  2.  2.  2.  0.  1.  1.  2.
  9.  1.  1.  1.  1.  1.  0.  0.  1.  3.  3.  0.  0.  0.  0.  0.  0.  1.
  1.  7.  7.  2.  2.  2.  2.  2.  4.  4.  4.  9.  9.  0.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  2.  2.  2.  0.  0.  0.
  0.  0.  0.  0.  4.  6.  6.  0.  5.  5.  5.  5.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  4.  5.  5.  5.  0.  0.  0.  0.
  0.  0.  2.  2.  2.  3.  1.  3.  3.  3.  3.  6.  7.  7.  7.  7.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  0.  2.  6. 13. 13.
  0.  9. 10. 13. 13.  0.  0.  0.  0.  0.  0.  1.  2.  2.  2.  0.  0.  0.
  0.  0.  0.  2.  2.  2.  2.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  2.  0.  1.  1.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0. 12. 12.  0.  1.  3.  3.  4.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  2.  3.  1.  1.  1.  1.  1.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  3.  3.  0.  0.  0.  2.  2.  0.
  0.  2.  2.  2.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.
  0.  0.  7.  7.  7.  7.  0.  0.  0.  4.  5.  0.  0.  1.  2.  2.  0.  0.
  0.  0.  0.  4.  4.  4.  4.  4.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.  2.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  4.  4.  4.  0.  7.  7.  7.
  7.  0.  0.  0.  0.  1.  0.  2.  2.  2.  2.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]"
