,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,threshold
153,3,0.5,0.05,0.25,25
154,3,0.5,0.05,0.5,25
155,3,0.5,0.05,0.75,25
156,3,0.5,0.1,0.01,2
157,3,0.5,0.1,0.05,25
158,3,0.5,0.1,0.1,25
159,3,0.5,0.1,0.25,25
160,3,0.5,0.1,0.5,25
161,3,0.5,0.1,0.75,25
162,3,0.5,0.25,0.01,11
163,3,0.5,0.25,0.05,25
164,3,0.5,0.25,0.1,25
165,3,0.5,0.25,0.25,25
166,3,0.5,0.25,0.5,25
167,3,0.5,0.25,0.75,25
168,3,0.5,0.5,0.01,11
169,3,0.5,0.5,0.05,25
170,3,0.5,0.5,0.1,25
171,3,0.5,0.5,0.25,25
172,3,0.5,0.5,0.5,25
173,3,0.5,0.5,0.75,25
174,3,0.5,0.75,0.01,17
175,3,0.5,0.75,0.05,25
176,3,0.5,0.75,0.1,25
177,3,0.5,0.75,0.25,25
178,3,0.5,0.75,0.5,25
179,3,0.5,0.75,0.75,25
180,3,0.75,0.01,0.01,0
181,3,0.75,0.01,0.05,25
182,3,0.75,0.01,0.1,25
183,3,0.75,0.01,0.25,25
184,3,0.75,0.01,0.5,25
185,3,0.75,0.01,0.75,25
186,3,0.75,0.05,0.01,18
187,3,0.75,0.05,0.05,25
188,3,0.75,0.05,0.1,25
189,3,0.75,0.05,0.25,25
190,3,0.75,0.05,0.5,25
191,3,0.75,0.05,0.75,25
192,3,0.75,0.1,0.01,25
193,3,0.75,0.1,0.05,25
194,3,0.75,0.1,0.1,25
195,3,0.75,0.1,0.25,25
196,3,0.75,0.1,0.5,25
197,3,0.75,0.1,0.75,25
198,3,0.75,0.25,0.01,25
199,3,0.75,0.25,0.05,25
200,3,0.75,0.25,0.1,25
201,3,0.75,0.25,0.25,25
202,3,0.75,0.25,0.5,25
203,3,0.75,0.25,0.75,25
204,3,0.75,0.5,0.01,24
205,3,0.75,0.5,0.05,25
206,3,0.75,0.5,0.1,25
207,3,0.75,0.5,0.25,25
208,3,0.75,0.5,0.5,25
209,3,0.75,0.5,0.75,25
210,3,0.75,0.75,0.01,25
211,3,0.75,0.75,0.05,25
212,3,0.75,0.75,0.1,25
213,3,0.75,0.75,0.25,25
214,3,0.75,0.75,0.5,25
215,3,0.75,0.75,0.75,25
216,10,0.01,0.01,0.01,0
217,10,0.01,0.01,0.05,0
218,10,0.01,0.01,0.1,0
219,10,0.01,0.01,0.25,0
220,10,0.01,0.01,0.5,0
221,10,0.01,0.01,0.75,0
222,10,0.01,0.05,0.01,0
223,10,0.01,0.05,0.05,0
224,10,0.01,0.05,0.1,0
225,10,0.01,0.05,0.25,0
226,10,0.01,0.05,0.5,0
227,10,0.01,0.05,0.75,0
228,10,0.01,0.1,0.01,0
229,10,0.01,0.1,0.05,0
230,10,0.01,0.1,0.1,0
231,10,0.01,0.1,0.25,0
232,10,0.01,0.1,0.5,0
233,10,0.01,0.1,0.75,0
234,10,0.01,0.25,0.01,0
235,10,0.01,0.25,0.05,0
236,10,0.01,0.25,0.1,0
237,10,0.01,0.25,0.25,0
238,10,0.01,0.25,0.5,0
239,10,0.01,0.25,0.75,0
240,10,0.01,0.5,0.01,0
241,10,0.01,0.5,0.05,0
242,10,0.01,0.5,0.1,0
243,10,0.01,0.5,0.25,0
244,10,0.01,0.5,0.5,0
245,10,0.01,0.5,0.75,0
246,10,0.01,0.75,0.01,0
247,10,0.01,0.75,0.05,0
248,10,0.01,0.75,0.1,0
249,10,0.01,0.75,0.25,0
250,10,0.01,0.75,0.5,0
251,10,0.01,0.75,0.75,0
252,10,0.05,0.01,0.01,0
253,10,0.05,0.01,0.05,0
254,10,0.05,0.01,0.1,0
255,10,0.05,0.01,0.25,0
256,10,0.05,0.01,0.5,0
257,10,0.05,0.01,0.75,0
258,10,0.05,0.05,0.01,0
259,10,0.05,0.05,0.05,0
260,10,0.05,0.05,0.1,0
261,10,0.05,0.05,0.25,0
262,10,0.05,0.05,0.5,0
263,10,0.05,0.05,0.75,0
264,10,0.05,0.1,0.01,0
265,10,0.05,0.1,0.05,0
266,10,0.05,0.1,0.1,0
267,10,0.05,0.1,0.25,0
268,10,0.05,0.1,0.5,0
269,10,0.05,0.1,0.75,0
270,10,0.05,0.25,0.01,0
271,10,0.05,0.25,0.05,0
272,10,0.05,0.25,0.1,0
273,10,0.05,0.25,0.25,0
274,10,0.05,0.25,0.5,0
275,10,0.05,0.25,0.75,0
276,10,0.05,0.5,0.01,0
277,10,0.05,0.5,0.05,0
278,10,0.05,0.5,0.1,0
279,10,0.05,0.5,0.25,0
280,10,0.05,0.5,0.5,0
281,10,0.05,0.5,0.75,0
282,10,0.05,0.75,0.01,0
283,10,0.05,0.75,0.05,0
284,10,0.05,0.75,0.1,0
285,10,0.05,0.75,0.25,0
286,10,0.05,0.75,0.5,0
287,10,0.05,0.75,0.75,0
288,10,0.1,0.01,0.01,0
289,10,0.1,0.01,0.05,0
290,10,0.1,0.01,0.1,0
291,10,0.1,0.01,0.25,0
292,10,0.1,0.01,0.5,0
293,10,0.1,0.01,0.75,0
294,10,0.1,0.05,0.01,0
295,10,0.1,0.05,0.05,0
296,10,0.1,0.05,0.1,0
297,10,0.1,0.05,0.25,0
298,10,0.1,0.05,0.5,0
299,10,0.1,0.05,0.75,0
300,10,0.1,0.1,0.01,0
301,10,0.1,0.1,0.05,0
302,10,0.1,0.1,0.1,0
303,10,0.1,0.1,0.25,0
304,10,0.1,0.1,0.5,0
305,10,0.1,0.1,0.75,0
306,10,0.1,0.25,0.01,0
307,10,0.1,0.25,0.05,0
308,10,0.1,0.25,0.1,0
309,10,0.1,0.25,0.25,0
310,10,0.1,0.25,0.5,0
311,10,0.1,0.25,0.75,0
312,10,0.1,0.5,0.01,0
313,10,0.1,0.5,0.05,0
314,10,0.1,0.5,0.1,0
315,10,0.1,0.5,0.25,0
316,10,0.1,0.5,0.5,0
317,10,0.1,0.5,0.75,0
318,10,0.1,0.75,0.01,0
319,10,0.1,0.75,0.05,0
320,10,0.1,0.75,0.1,0
321,10,0.1,0.75,0.25,0
322,10,0.1,0.75,0.5,0
323,10,0.1,0.75,0.75,0
324,10,0.25,0.01,0.01,0
325,10,0.25,0.01,0.05,0
326,10,0.25,0.01,0.1,0
327,10,0.25,0.01,0.25,0
328,10,0.25,0.01,0.5,0
329,10,0.25,0.01,0.75,0
330,10,0.25,0.05,0.01,0
331,10,0.25,0.05,0.05,0
332,10,0.25,0.05,0.1,0
333,10,0.25,0.05,0.25,0
334,10,0.25,0.05,0.5,0
335,10,0.25,0.05,0.75,0
336,10,0.25,0.1,0.01,0
337,10,0.25,0.1,0.05,0
338,10,0.25,0.1,0.1,0
339,10,0.25,0.1,0.25,0
340,10,0.25,0.1,0.5,0
341,10,0.25,0.1,0.75,0
342,10,0.25,0.25,0.01,0
343,10,0.25,0.25,0.05,0
